0,1,2,3,4,5,6,7,8,9,10,11,12
ANTH-210-100,13,6,2,1,0,22 3.409,0.0,0.0,0.0,0.0,2.0,24 VORA N
,59.09%,27.27%,9.09%,4.55%,0.00%,,,,,,,
COURSE TOTAL:,13,6,2,1,0,22 3.409,0.0,0.0,0.0,0.0,2.0,24
,59.09%,27.27%,9.09%,4.55%,0.00%,,,,,,,
DEPARTMENT TOTAL:,13,6,2,1,0,22 3.409,0.0,0.0,0.0,0.0,2.0,24
,59.09%,27.27%,9.09%,4.55%,0.00%,,,,,,,
COLLEGE TOTAL:,13,6,2,1,0,22 3.409,0.0,0.0,0.0,0.0,2.0,24
CHEN-414-900,5,2,0,0,0,7 3.714,0.0,0.0,0.0,0.0,0.0,7 SALAMA G
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,5,2,0,0,0,7 3.714,0.0,0.0,0.0,0.0,0.0,7
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,
DEPARTMENT TOTAL:,5,2,0,0,0,7 3.714,0.0,0.0,0.0,0.0,0.0,7
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,
COLLEGE TOTAL:,5,2,0,0,0,7 3.714,0.0,0.0,0.0,0.0,0.0,7
CHEM-107-100,0,3,7 2,1,,13 1.923,0.0,0.0,0.0,0.0,0.0,13 BROTHERS E
,0.00%,23.08%,53.85%  15.38%,7.69%,,,,,,,,
COURSE TOTAL:,0,3,7 2,1,,13 1.923,0.0,0.0,0.0,0.0,0.0,13
,0.00%,23.08%,53.85%  15.38%,7.69%,,,,,,,,
CHEM-117-102,3,5,0 0,1,,9 3.000,0.0,0.0,0.0,0.0,0.0,9 BROTHERS E
,33.33%,55.56%,0.00%0.00%  11.11%,,,,,,,,,
COURSE TOTAL:,3,5,0 0,1,,9 3.000,0.0,0.0,0.0,0.0,0.0,9
,33.33%,55.56%,0.00%0.00%,11.11%,,,,,,,,
DEPARTMENT TOTAL:,3,8,7 2,2,,22 2.364,0.0,0.0,0.0,0.0,0.0,22
,13.64%,36.36%,31.82%9.09%,9.09%,,,,,,,,
COLLEGE TOTAL:,3,8,7 2,2,,22 2.364,0.0,0.0,0.0,0.0,0.0,22
CVEN-305-100,2,3,3,0,0,8 2.875,0.0,0.0,0.0,1.0,0.0,9 RUIMI A
,25.00%,37.50%,37.50%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,3,3,0,0,8 2.875,0.0,0.0,0.0,1.0,0.0,9
,25.00%,37.50%,37.50%,0.00%,0.00%,,,,,,,
DEPARTMENT TOTAL:,2,3,3,0,0,8 2.875,0.0,0.0,0.0,1.0,0.0,9
,25.00%,37.50%,37.50%,0.00%,0.00%,,,,,,,
COLLEGE TOTAL:,2,3,3,0,0,8 2.875,0.0,0.0,0.0,1.0,0.0,9
ENGL-104-100,0,6,0,01,,7 2.571,0.0,0.0,0.0,0.0,0.0,7 BEGGS C
,0.00%,85.71%,0.00%,0.00%  14.29%,,,,,,,,
COURSE TOTAL:,0,6,0,0 1,,7 2.571,0.0,0.0,0.0,0.0,0.0,7
,0.00%,85.71%,0.00%,0.00%  14.29%,,,,,,,,
ENGL-210-101,3,5,3,01,,12 2.750,0.0,0.0,0.0,0.0,0.0,12 WILLIAMS J
,25.00%,41.67%,25.00%,0.00%8.33%,,,,,,,,
COURSE TOTAL:,3,5,3,0 1,,12 2.750,0.0,0.0,0.0,0.0,0.0,12
,25.00%,41.67%,25.00%,0.00%   8.33%,,,,,,,,
DEPARTMENT TOTAL:,3,11,3,02,,19 2.684,0.0,0.0,0.0,0.0,0.0,19
,15.79%,57.89%,15.79%,0.00%  10.53%,,,,,,,,
COLLEGE TOTAL:,3,11,3,0 2,,19 2.684,0.0,0.0,0.0,0.0,0.0,19
KINE-199-502,6,1,0,0,0,7 3.857,0.0,6.0,0.0,0.0,0.0,13 MINUS M
,85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,6,1,0,0,0,7 3.857,0.0,6.0,0.0,0.0,0.0,13
,85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,
DEPARTMENT TOTAL:,6,1,0,0,0,7 3.857,0.0,6.0,0.0,0.0,0.0,13
,85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,
COLLEGE TOTAL:,6,1,0,0,0,7 3.857,0.0,6.0,0.0,0.0,0.0,13
HIST-105-100,11,10,4,0,0,25 3.280,0.0,0.0,0.0,0.0,0.0,25 WORK D
,44.00%,40.00%,16.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,11,10,4,0,0,25 3.280,0.0,0.0,0.0,0.0,0.0,25
,44.00%,40.00%,16.00%,0.00%,0.00%,,,,,,,
HIST-106-100,8,6,6,0,0,20 3.100,0.0,0.0,0.0,0.0,0.0,20 NESTER T
,40.00%,30.00%,30.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,8,6,6,0,0,20 3.100,0.0,0.0,0.0,0.0,0.0,20
,40.00%,30.00%,30.00%,0.00%,0.00%,,,,,,,
DEPARTMENT TOTAL:,19,16,10,0,0,45 3.200,0.0,0.0,0.0,0.0,0.0,45
,42.22%,35.56%,22.22%,0.00%,0.00%,,,,,,,
COLLEGE TOTAL:,19,16,10,0,0,45 3.200,0.0,0.0,0.0,0.0,0.0,45
MEEN-315-100,1,5,1 2,,0,9 2.556,0.0,0.0,0.0,0.0,0.0,9 GYESZLY S
,11.11%,55.56%,11.11%  22.22%,,0.00%,,,,,,,
COURSE TOTAL:,1,5,1 2,,0,9 2.556,0.0,0.0,0.0,0.0,0.0,9
,11.11%,55.56%,11.11%  22.22%,,0.00%,,,,,,,
DEPARTMENT TOTAL:,1,5,1 2,,0,9 2.556,0.0,0.0,0.0,0.0,0.0,9
,11.11%,55.56%,11.11%  22.22%,,0.00%,,,,,,,
COLLEGE TOTAL:,1,5,1 2,,0,9 2.556,0.0,0.0,0.0,0.0,0.0,9
POLS-206-100,5,17,4 0,,0,26 3.038,0.0,0.0,0.0,1.0,0.0,27 HEEG J
,19.23%,65.38%,15.38%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,5,17,4 0,,0,26 3.038,0.0,0.0,0.0,1.0,0.0,27
,19.23%,65.38%,15.38%0.00%,,0.00%,,,,,,,
POLS-207-100,9,13,7 0,,0,29 3.069,1.0,0.0,0.0,0.0,0.0,30 THORNTON D
,31.03%,44.83%,24.14%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,9,13,7 0,,0,29 3.069,1.0,0.0,0.0,0.0,0.0,30
,31.03%,44.83%,24.14%0.00%,,0.00%,,,,,,,
POLS-331-100,2,4,2 1,,0,9 2.778,2.0,0.0,0.0,0.0,0.0,11 KENT C
,22.22%,44.44%,22.22%  11.11%,,0.00%,,,,,,,
COURSE TOTAL:,2,4,2 1,,0,9 2.778,2.0,0.0,0.0,0.0,0.0,11
,22.22%,44.44%,22.22%  11.11%,,0.00%,,,,,,,
DEPARTMENT TOTAL:,16,34,13 1,,0,64 3.016,3.0,0.0,0.0,1.0,0.0,68
,25.00%,53.13%,20.31%1.56%,,0.00%,,,,,,,
COLLEGE TOTAL:,16,34,13 1,,0,64 3.016,3.0,0.0,0.0,1.0,0.0,68
