0,1,2,3,4,5,6,7,8,9,10,11,12
BIMS-101-501,86,8,3,0,1,98 3.816,0.0,0.0,0.0,0.0,0.0,98 HEAPS C
,87.76%,8.16%,3.06%,0.00%,1.02%,,,,,,,
BIMS-101-502,98,1,1,0,0,100 3.970,0.0,0.0,0.0,0.0,0.0,100 FUNKHOUSER N
,98.00%,1.00%,1.00%,0.00%,0.00%,,,,,,,
BIMS-101-503,87,8,1,1,0,97 3.866,0.0,0.0,0.0,0.0,0.0,97 FUNKHOUSER N
,89.69%,8.25%,1.03%,1.03%,0.00%,,,,,,,
BIMS-101-504,91,7,0,0,0,98 3.929,0.0,0.0,0.0,0.0,0.0,98 FUNKHOUSER N
,92.86%,7.14%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,362,24,5,1,1,393 3.896,0.0,0.0,0.0,0.0,0.0,393
,92.11%,6.11%,1.27%,0.25%,0.25%,,,,,,,
BIMS-320-200,7,1,0,0,0,8 3.875,0.0,0.0,0.0,0.0,0.0,8 RAUDSEPP T
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,
BIMS-320-201,12,0,0,0,0,12 4.000,0.0,0.0,0.0,0.0,0.0,12 SKOW L
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
BIMS-320-501,33,27,16,0,0,76 3.224,0.0,0.0,0.0,3.0,0.0,79 MURPHY W
,43.42%,35.53%,21.05%,0.00%,0.00%,,,,,,,
BIMS-320-502,62,16,1,0,0,79 3.772,0.0,0.0,0.0,0.0,0.0,79 VENKATRAJ V
,78.48%,20.25%,1.27%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,114,44,17,0,0,175 3.554,0.0,0.0,0.0,3.0,0.0,178
,65.14%,25.14%,9.71%,0.00%,0.00%,,,,,,,
BIMS-405-500,10,21,2,0,0,33 3.242,0.0,0.0,0.0,1.0,0.0,34 WOMACK J
,30.30%,63.64%,6.06%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,10,21,2,0,0,33 3.242,0.0,0.0,0.0,1.0,0.0,34
,30.30%,63.64%,6.06%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,130,0,0,0,0,130 4.000,0.0,0.0,0.0,0.0,0.0,130
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
VMID-921-301,128,0,0,0,0,128 4.000,0.0,0.0,0.0,0.0,0.0,128 BARTON C
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,128,0,0,0,0,128 4.000,0.0,0.0,0.0,0.0,0.0,128
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
VMID-925-301,16,83,31,1,1,132 2.848,0.0,0.0,0.0,0.0,0.0,132 YOUNG B
,12.12%,62.88%,23.48%,0.76%,0.76%,,,,,,,
COURSE TOTAL:,16,83,31,1,1,132 2.848,0.0,0.0,0.0,0.0,0.0,132
,12.12%,62.88%,23.48%,0.76%,0.76%,,,,,,,
VMID-935-301,8,106,18,0,0,132 2.924,0.0,0.0,0.0,0.0,0.0,132 HOOPER R
,6.06%,80.30%,13.64%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,8,106,18,0,0,132 2.924,0.0,0.0,0.0,0.0,0.0,132
,6.06%,80.30%,13.64%,0.00%,0.00%,,,,,,,
VMID-950-301,58,68,2,0,0,128 3.438,0.0,0.0,0.0,0.0,0.0,128 BAUER J
,45.31%,53.13%,1.56%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,58,68,2,0,0,128 3.438,0.0,0.0,0.0,0.0,0.0,128
,45.31%,53.13%,1.56%,0.00%,0.00%,,,,,,,
VTPP-924-301,53,64,10,0,0,127 3.339,1.0,0.0,0.0,0.0,0.0,128 SCOTT M
,41.73%,50.39%,7.87%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,53,64,10,0,0,127 3.339,1.0,0.0,0.0,0.0,0.0,128
,41.73%,50.39%,7.87%,0.00%,0.00%,,,,,,,
VTPP-948-314,22,0,0,0,0,22 4.000,0.0,0.0,0.0,0.0,0.0,22 BAILEY E
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
VTPP-948-315,22,0,0,0,0,22 4.000,0.0,0.0,0.0,0.0,0.0,22 BAILEY E
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
VTPP-948-316,18,0,0,0,0,18 4.000,0.0,0.0,0.0,0.0,0.0,18 BAILEY E
