0,1,2,3,4,5,6,7,8,9,10,11,12
ANTH-202-401,7,14,14 5,2,,42 2.452,0.0,0.0,0.0,0.0,1.0,43 OERTLING T
,16.67%,33.33%,33.33%  11.90%,4.76%,,,,,,,,
ANTH-202-402,4,17,12 5,3,,41 2.342,0.0,0.0,0.0,1.0,0.0,42 OERTLING T
,9.76%,41.46%,29.27%  12.20%,7.32%,,,,,,,,
COURSE TOTAL:,11,31,26 10,5,,83 2.398,0.0,0.0,0.0,1.0,1.0,85
,13.25%,37.35%,31.33%  12.05%,6.02%,,,,,,,,
ANTH-210-401,7,1,3 2,0,,13 3.000,0.0,0.0,0.0,0.0,0.0,13 PEARL F
,53.85%,7.69%,23.08%  15.38%,0.00%,,,,,,,,
COURSE TOTAL:,7,1,3 2,0,,13 3.000,0.0,0.0,0.0,0.0,0.0,13
,53.85%,7.69%,23.08%  15.38%,0.00%,,,,,,,,
ANTH-225-401,6,5,3 0,0,,14 3.214,0.0,0.0,0.0,0.0,0.0,14 MARK S
,42.86%,35.71%,21.43%0.00%,0.00%,,,,,,,,
ANTH-225-402,4,1,1 0,0,,6 3.500,0.0,0.0,0.0,0.0,0.0,6 MARK S
,66.67%,16.67%,16.67%0.00%,0.00%,,,,,,,,
COURSE TOTAL:,10,6,4 0,0,,20 3.300,0.0,0.0,0.0,0.0,0.0,20
,50.00%,30.00%,20.00%0.00%,0.00%,,,,,,,,
ANTH-316-401,9,13,7 3,0,,32 2.875,1.0,0.0,0.0,0.0,0.0,33 MARK S
,28.13%,40.63%,21.88%9.38%,0.00%,,,,,,,,
COURSE TOTAL:,9,13,7 3,0,,32 2.875,1.0,0.0,0.0,0.0,0.0,33
,28.13%,40.63%,21.88%9.38%,0.00%,,,,,,,,
CAEN-101-401,13,11,2 2,4,,32 2.844,0.0,0.0,0.0,0.0,0.0,32 BAILEY K
,40.63%,34.38%,6.25%6.25%  12.50%,,,,,,,,,
CAEN-101-402,16,13,3 0,1,,33 3.303,0.0,0.0,0.0,0.0,0.0,33 KUHL M
COURSE TOTAL:,29,24,5 2,5,,65 3.077,0.0,0.0,0.0,0.0,0.0,65
,44.62%,36.92%,7.69%3.08%,7.69%,,,,,,,,
COMM-203-401,14,8,0 0,0,,22 3.636,0.0,0.0,0.0,0.0,0.0,22 LANG V
,63.64%,36.36%,0.00%0.00%,0.00%,,,,,,,,
COMM-203-402,20,3,0 0,0,,23 3.870,0.0,0.0,0.0,0.0,0.0,23 LANG V
,86.96%,13.04%,0.00%0.00%,0.00%,,,,,,,,
COMM-203-403,9,11,0 0,0,,20 3.450,0.0,0.0,0.0,1.0,0.0,21 LANG V
,45.00%,55.00%,0.00%0.00%,0.00%,,,,,,,,
COURSE TOTAL:,43,22,0 0,0,,65 3.662,0.0,0.0,0.0,1.0,0.0,66
,66.15%,33.85%,0.00%0.00%,0.00%,,,,,,,,
ENGL-104-401,3,12,7 3,0,,25 2.600,0.0,0.0,0.0,0.0,0.0,25 FONTENOT K
,12.00%,48.00%,28.00%  12.00%,0.00%,,,,,,,,
ENGL-104-402,1,13,4 0,4,,22 2.318,0.0,0.0,0.0,0.0,0.0,22 THEIS W
,4.55%,59.09%,18.18%0.00%  18.18%,,,,,,,,,
ENGL-104-403,4,9,6 1,3,,23 2.435,0.0,0.0,0.0,0.0,0.0,23 THEIS W
,17.39%,39.13%,26.09%4.35%  13.04%,,,,,,,,,
ENGL-104-404,4,12,5 0,2,,23 2.696,0.0,0.0,0.0,0.0,0.0,23 THEIS W
,17.39%,52.17%,21.74%0.00%,8.70%,,,,,,,,
ENGL-104-405,1,6,6 1,8,,22 1.591,0.0,0.0,0.0,1.0,0.0,23 SLABAUGH L
,4.55%,27.27%,27.27%4.55%  36.36%,,,,,,,,,
ENGL-104-406,0,12,6 0,4,,22 2.182,0.0,0.0,0.0,1.0,0.0,23 FONTENOT K
,0.00%,54.55%,27.27%0.00%  18.18%,,,,,,,,,
ENGL-104-407,3,2,2 2,4,,13 1.846,0.0,0.0,0.0,0.0,0.0,13 FONTENOT K
,23.08%,15.38%,15.38%  15.38%  30.77%,,,,,,,,,
MATH-151-407,4,11,4 8,7,,34 1.912,0.0,0.0,0.0,0.0,0.0,34 SZUCS J
,11.76%,32.35%,11.76%  23.53%  20.59%,,,,,,,,,
MATH-151-408,1,6,1 2,5,,15 1.733,0.0,0.0,0.0,1.0,0.0,16 LUXEMBURG L
,6.67%,40.00%,6.67%  13.33%  33.33%,,,,,,,,,
COURSE TOTAL:,42,68,51 34,28,,223 2.278,0.0,0.0,0.0,10.0,0.0,233
,18.83%,30.49%,22.87%  15.25%,12.56%,,,,,,,,
MATH-152-401,13,13,2 4,0,,32 3.094,0.0,0.0,0.0,2.0,0.0,34 YI E
,40.63%,40.63%,6.25%  12.50%,0.00%,,,,,,,,
COURSE TOTAL:,13,13,2 4,0,,32 3.094,0.0,0.0,0.0,2.0,0.0,34
,40.63%,40.63%,6.25%  12.50%,0.00%,,,,,,,,
MATH-161-401,2,2,1 1,0,,6 2.833,0.0,0.0,0.0,0.0,0.0,6 YI E
,33.33%,33.33%,16.67%  16.67%,0.00%,,,,,,,,
COURSE TOTAL:,2,2,1 1,0,,6 2.833,0.0,0.0,0.0,0.0,0.0,6
,33.33%,33.33%,16.67%  16.67%,0.00%,,,,,,,,
MATH-166-401,5,0,1 2,0,,8 3.000,0.0,0.0,0.0,0.0,0.0,8 KANG C
,62.50%,0.00%,12.50%  25.00%,0.00%,,,,,,,,
MATH-166-402,2,3,6 4,3,,18 1.833,0.0,0.0,0.0,1.0,0.0,19 BROWN P
,11.11%,16.67%,33.33%  22.22%  16.67%,,,,,,,,,
MATH-166-403,2,3,4 2,4,,15 1.800,0.0,0.0,0.0,0.0,0.0,15 ACERO-SCHERTZER C
,13.33%,20.00%,26.67%  13.33%  26.67%,,,,,,,,,
COURSE TOTAL:,9,6,11 8,7,,41 2.049,0.0,0.0,0.0,1.0,0.0,42
,21.95%,14.63%,26.83%  19.51%,17.07%,,,,,,,,
MATH-251-401,1,7,7 3,0,,18 2.333,0.0,0.0,0.0,8.0,0.0,26 BROWN P
COURSE TOTAL:,1,7,7 3,0,,18 2.333,0.0,0.0,0.0,8.0,0.0,26
,5.56%,38.89%,38.89%  16.67%,0.00%,,,,,,,,
PHIL-240-401,10,4,9 2,0,,25 2.880,1.0,0.0,0.0,6.0,0.0,32 DOMSKY D
,40.00%,16.00%,36.00%8.00%,0.00%,,,,,,,,
COURSE TOTAL:,10,4,9 2,0,,25 2.880,1.0,0.0,0.0,6.0,0.0,32
,40.00%,16.00%,36.00%8.00%,0.00%,,,,,,,,
PHIL-314-401,6,7,5 0,0,,18 3.056,4.0,0.0,0.0,0.0,0.0,22 DOMSKY D
,33.33%,38.89%,27.78%0.00%,0.00%,,,,,,,,
COURSE TOTAL:,6,7,5 0,0,,18 3.056,4.0,0.0,0.0,0.0,0.0,22
,33.33%,38.89%,27.78%0.00%,0.00%,,,,,,,,
POLS-206-401,46,81,71 27,7,,232 2.569,0.0,0.0,0.0,3.0,0.0,235 CARHART J
,19.83%,34.91%,30.60%  11.64%,3.02%,,,,,,,,
COURSE TOTAL:,46,81,71 27,7,,232 2.569,0.0,0.0,0.0,3.0,0.0,235
,19.83%,34.91%,30.60%  11.64%,3.02%,,,,,,,,
POLS-207-401,40,62,51 4,3,,160 2.825,0.0,0.0,0.0,0.0,1.0,161 WADDELL M
,25.00%,38.75%,31.88%2.50%,1.88%,,,,,,,,
COURSE TOTAL:,40,62,51 4,3,,160 2.825,0.0,0.0,0.0,0.0,1.0,161
,25.00%,38.75%,31.88%2.50%,1.88%,,,,,,,,
POLS-331-401,17,3,1 1,3,,25 3.200,1.0,0.0,0.0,0.0,0.0,26 CARHART J
,68.00%,12.00%,4.00%4.00%  12.00%,,,,,,,,,
COURSE TOTAL:,17,3,1 1,3,,25 3.200,1.0,0.0,0.0,0.0,0.0,26
,68.00%,12.00%,4.00%4.00%,12.00%,,,,,,,,
COURSE TOTAL:,4,18,3 1,1,,27 2.852,1.0,0.0,0.0,0.0,0.0,28
,14.81%,66.67%,11.11%3.70%,3.70%,,,,,,,,
PSYC-107-401,9,29,13 4,0,,55 2.782,0.0,0.0,0.0,2.0,0.0,57 COLE C
,16.36%,52.73%,23.64%7.27%,0.00%,,,,,,,,
PSYC-107-402,15,19,6 2,0,,42 3.119,0.0,0.0,0.0,0.0,0.0,42 SINDYLEK R
,35.71%,45.24%,14.29%4.76%,0.00%,,,,,,,,
COURSE TOTAL:,24,48,19 6,0,,97 2.928,0.0,0.0,0.0,2.0,0.0,99
,24.74%,49.48%,19.59%6.19%,0.00%,,,,,,,,
SPAN-101-401,5,2,5 4,0,,16 2.500,0.0,0.0,0.0,3.0,0.0,19 GONZALES R
,31.25%,12.50%,31.25%  25.00%,0.00%,,,,,,,,
SPAN-101-402,4,2,1 0,0,,7 3.429,0.0,0.0,0.0,3.0,0.0,10 BELL J
,57.14%,28.57%,14.29%0.00%,0.00%,,,,,,,,
COURSE TOTAL:,9,4,6 4,0,,23 2.783,0.0,0.0,0.0,6.0,0.0,29
,39.13%,17.39%,26.09%  17.39%,0.00%,,,,,,,,
SPAN-201-401,2,1,2 0,1,,6 2.500,0.0,0.0,0.0,0.0,0.0,6 BELL J
,33.33%,16.67%,33.33%0.00%  16.67%,,,,,,,,,
COURSE TOTAL:,2,1,2 0,1,,6 2.500,0.0,0.0,0.0,0.0,0.0,6
,33.33%,16.67%,33.33%0.00%,16.67%,,,,,,,,
BIOL-111-401,1,5,5 2,2,,15 2.067,0.0,0.0,0.0,0.0,0.0,15 METZ T
,6.67%,33.33%,33.33%  13.33%  13.33%,,,,,,,,,
BIOL-111-402,3,4,4 3,2,,16 2.188,0.0,0.0,0.0,1.0,0.0,17 METZ T
,18.75%,25.00%,25.00%  18.75%  12.50%,,,,,,,,,
BIOL-111-403,4,8,5 3,0,,20 2.650,0.0,0.0,0.0,0.0,0.0,20 METZ T
,20.00%,40.00%,25.00%  15.00%,0.00%,,,,,,,,
BIOL-111-404,2,2,11 3,2,,20 1.950,0.0,0.0,0.0,0.0,0.0,20 METZ T
,10.00%,10.00%,55.00%  15.00%  10.00%,,,,,,,,,
BIOL-111-405,6,6,5 2,1,,20 2.700,0.0,0.0,0.0,0.0,0.0,20 METZ T
,30.00%,30.00%,25.00%  10.00%,5.00%,,,,,,,,
BIOL-111-406,2,7,5 6,0,,20 2.250,0.0,0.0,0.0,0.0,0.0,20 METZ T
,10.00%,35.00%,25.00%  30.00%,0.00%,,,,,,,,
BIOL-111-407,4,7,4 3,1,,19 2.526,0.0,0.0,0.0,0.0,0.0,19 METZ T
,21.05%,36.84%,21.05%  15.79%,5.26%,,,,,,,,
BIOL-111-408,8,5,4 2,0,,19 3.000,0.0,0.0,0.0,0.0,0.0,19 METZ T
,42.11%,26.32%,21.05%  10.53%,0.00%,,,,,,,,
