0,1,2,3,4,5,6,7,8,9,10,11,12
ARCH-205-500,6,8,0,0,0,14 3.429,0.0,0.0,0.0,0.0,0.0,14 ABBOTT E
,42.86%,57.14%,0.00%,0.00%,0.00%,,,,,,,
ARCH-205-501,9,3,2,0,0,14 3.500,0.0,0.0,0.0,1.0,0.0,15 BABE J
,64.29%,21.43%,14.29%,0.00%,0.00%,,,,,,,
ARCH-205-503,6,6,1,0,0,13 3.385,0.0,0.0,0.0,0.0,0.0,13 DOWNING F
,46.15%,46.15%,7.69%,0.00%,0.00%,,,,,,,
ARCH-205-504,8,5,0,0,0,13 3.615,1.0,0.0,0.0,0.0,0.0,14 CAMPAGNOL G
,61.54%,38.46%,0.00%,0.00%,0.00%,,,,,,,
ARCH-205-505,11,5,0,0,0,16 3.688,0.0,0.0,0.0,0.0,0.0,16 ESQUIVEL J
,68.75%,31.25%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,40,27,3,0,0,70 3.529,1.0,0.0,0.0,1.0,0.0,72
,57.14%,38.57%,4.29%,0.00%,0.00%,,,,,,,
ARCH-212-201,4,2,0,0,0,6 3.667,0.0,0.0,0.0,0.0,0.0,6 ZHU X
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,
ARCH-212-500,7,2,2,0,1,12 3.167,0.0,0.0,0.0,0.0,0.0,12 ZHU X
,58.33%,16.67%,16.67%,0.00%,8.33%,,,,,,,
ARCH-212-501,10,9,1,0,0,20 3.450,0.0,0.0,0.0,0.0,0.0,20 ZHU X
,50.00%,45.00%,5.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,21,13,3,0,1,38 3.395,0.0,0.0,0.0,0.0,0.0,38
,55.26%,34.21%,7.89%,0.00%,2.63%,,,,,,,
ARCH-249-500,58,99,45,7,4,213 2.939,0.0,0.0,0.0,5.0,0.0,218 GLOWACKI K
,27.23%,46.48%,21.13%,3.29%,1.88%,,,,,,,
COURSE TOTAL:,58,99,45,7,4,213 2.939,0.0,0.0,0.0,5.0,0.0,218
,27.23%,46.48%,21.13%,3.29%,1.88%,,,,,,,
COURSE TOTAL:,111,46,41,12,8,218 3.101,0.0,0.0,0.0,3.0,0.0,221
,50.92%,21.10%,18.81%,5.50%,3.67%,,,,,,,
ARCH-291-500,8,0,0,0,0,8 4.000,0.0,0.0,0.0,0.0,0.0,8 CLAYTON M
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8 4.000,0.0,0.0,0.0,0.0,0.0,8
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
ARCH-305-500,8,5,0,0,0,13 3.615,0.0,0.0,0.0,0.0,0.0,13 DEYONG S
,61.54%,38.46%,0.00%,0.00%,0.00%,,,,,,,
ARCH-305-501,13,1,0,0,0,14 3.929,1.0,0.0,0.0,0.0,0.0,15 MANN G
,92.86%,7.14%,0.00%,0.00%,0.00%,,,,,,,
ARCH-305-502,4,9,1,0,0,14 3.214,0.0,0.0,0.0,0.0,0.0,14 MAFFEI G
,28.57%,64.29%,7.14%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,25,15,1,0,0,41 3.585,1.0,0.0,0.0,0.0,0.0,42
,60.98%,36.59%,2.44%,0.00%,0.00%,,,,,,,
ARCH-312-900,17,1,1,0,1,20 3.650,0.0,0.0,0.0,1.0,0.0,21 PASHA S
,85.00%,5.00%,5.00%,0.00%,5.00%,,,,,,,
COURSE TOTAL:,17,1,1,0,1,20 3.650,0.0,0.0,0.0,1.0,0.0,21
,85.00%,5.00%,5.00%,0.00%,5.00%,,,,,,,
ARCH-330-500,14,15,0,0,1,30 3.367,0.0,0.0,0.0,0.0,0.0,30 OBRIEN M
,46.67%,50.00%,0.00%,0.00%,3.33%,,,,,,,
COURSE TOTAL:,14,15,0,0,1,30 3.367,0.0,0.0,0.0,0.0,0.0,30
,46.67%,50.00%,0.00%,0.00%,3.33%,,,,,,,
ARCH-331-500,5,12,15,2,0,34 2.588,0.0,0.0,0.0,0.0,1.0,35 NICHOLS A
ENDS-105-505,6,7,1,0,0,14 3.357,0.0,0.0,0.0,0.0,0.0,14 QUINONES E
,42.86%,50.00%,7.14%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,45,32,7,0,0,84 3.452,0.0,0.0,0.0,2.0,0.0,86
,53.57%,38.10%,8.33%,0.00%,0.00%,,,,,,,
ENDS-112-901,6,6,2,0,0,14 3.286,0.0,0.0,0.0,5.0,0.0,19 MIRANDA V
,42.86%,42.86%,14.29%,0.00%,0.00%,,,,,,,
ENDS-112-902,7,3,1,0,1,12 3.250,0.0,0.0,0.0,3.0,0.0,15 MIRANDA V
,58.33%,25.00%,8.33%,0.00%,8.33%,,,,,,,
COURSE TOTAL:,13,9,3,0,1,26 3.269,0.0,0.0,0.0,8.0,0.0,34
,50.00%,34.62%,11.54%,0.00%,3.85%,,,,,,,
ENDS-115-502,2,12,1,0,0,15 3.067,0.0,0.0,0.0,0.0,0.0,15 DAVISON R
,13.33%,80.00%,6.67%,0.00%,0.00%,,,,,,,
ENDS-115-503,5,6,3,0,0,14 3.143,1.0,0.0,0.0,0.0,0.0,15 SUBASINGHE
,35.71%,42.86%,21.43%,0.00%,0.00%,,,,,,,
ENDS-115-504,4,5,3,0,0,12 3.083,0.0,0.0,0.0,1.0,0.0,13 ISLAM S
,33.33%,41.67%,25.00%,0.00%,0.00%,,,,,,,
ENDS-115-505,4,6,4,0,0,14 3.000,0.0,0.0,0.0,0.0,0.0,14 QUINONES E
,28.57%,42.86%,28.57%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,15,29,11,0,0,55 3.073,1.0,0.0,0.0,1.0,0.0,57
,27.27%,52.73%,20.00%,0.00%,0.00%,,,,,,,
ENDS-474-500,12,2,0,0,0,14 3.857,1.0,0.0,0.0,1.0,0.0,16 EILERS H
,85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,12,2,0,0,0,14 3.857,1.0,0.0,0.0,1.0,0.0,16
ENDS-481-501,16,0,0,0,0,16 4.000,0.0,0.0,0.0,0.0,0.0,16 MANN G
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,16,0,0,0,0,16 4.000,0.0,0.0,0.0,0.0,0.0,16
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
ENDS-494-570,5,0,0,0,0,5 4.000,0.0,0.0,0.0,0.0,0.0,5 ABBOTT E
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5 4.000,0.0,0.0,0.0,0.0,0.0,5
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
DEPARTMENT TOTAL:,1169,620,180,38,33,2040 3.399,16.0,2.0,0.0,28.0,1.0,2087
CARC-301-551,16,7,0,0,0,23 3.696,0.0,0.0,0.0,0.0,0.0,23 GEVA A
,69.57%,30.43%,0.00%,0.00%,0.00%,,,,,,,
CARC-301-553,14,8,0,0,0,22 3.636,0.0,0.0,0.0,0.0,0.0,22 HUANG C
,63.64%,36.36%,0.00%,0.00%,0.00%,,,,,,,
CARC-301-562,8,2,0,0,0,10 3.800,0.0,0.0,0.0,0.0,0.0,10 ROLDAN M
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,
