0,1,2,3,4,5,6,7,8,9,10,11,12
CHEN-204-500,5,11,8 1,4,,29 2.414,0.0,0.0,0.0,2.0,0.0,31 CASTIER M
,17.24%,37.93%,27.59%3.45%  13.79%,,,,,,,,,
COURSE TOTAL:,5,11,8 1,4,,29 2.414,0.0,0.0,0.0,2.0,0.0,31
,17.24%,37.93%,27.59%3.45%,13.79%,,,,,,,,
CHEN-304-500,1,3,5 1,2,,12 2.000,0.0,0.0,0.0,0.0,0.0,12 PALMER B
,8.33%,25.00%,41.67%8.33%  16.67%,,,,,,,,,
COURSE TOTAL:,1,3,5 1,2,,12 2.000,0.0,0.0,0.0,0.0,0.0,12
,8.33%,25.00%,41.67%8.33%,16.67%,,,,,,,,
CHEN-320-500,3,4,2 1,0,,10 2.900,0.0,0.0,0.0,0.0,0.0,10 BUKUR D
,30.00%,40.00%,20.00%  10.00%,0.00%,,,,,,,,
COURSE TOTAL:,3,4,2 1,0,,10 2.900,0.0,0.0,0.0,0.0,0.0,10
,30.00%,40.00%,20.00%  10.00%,0.00%,,,,,,,,
CHEN-354-500,4,4,1 1,0,,10 3.100,0.0,0.0,0.0,0.0,0.0,10 ABDEL-WAHAB A
,40.00%,40.00%,10.00%  10.00%,0.00%,,,,,,,,
COURSE TOTAL:,4,4,1 1,0,,10 3.100,0.0,0.0,0.0,0.0,0.0,10
,40.00%,40.00%,10.00%  10.00%,0.00%,,,,,,,,
CHEN-414-900,2,7,0 0,0,,9 3.222,0.0,0.0,0.0,0.0,0.0,9 SALAMA G
,22.22%,77.78%,0.00%0.00%,0.00%,,,,,,,,
COURSE TOTAL:,2,7,0 0,0,,9 3.222,0.0,0.0,0.0,0.0,0.0,9
,22.22%,77.78%,0.00%0.00%,0.00%,,,,,,,,
CHEN-424-500,4,4,5 1,0,,14 2.786,0.0,0.0,0.0,0.0,0.0,14 ELBASHIR N
,28.57%,28.57%,35.71%7.14%,0.00%,,,,,,,,
CHEN-425-500,5,5,2,0,0,12 3.250,0.0,0.0,0.0,0.0,0.0,12 LINKE P
,41.67%,41.67%,16.67%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,5,5,2,0,0,12 3.250,0.0,0.0,0.0,0.0,0.0,12
,41.67%,41.67%,16.67%,0.00%,0.00%,,,,,,,
CHEN-455-500,4,7,1,1,0,13 3.077,0.0,0.0,0.0,0.0,0.0,13 WALDRAM S
,30.77%,53.85%,7.69%,7.69%,0.00%,,,,,,,
COURSE TOTAL:,4,7,1,1,0,13 3.077,0.0,0.0,0.0,0.0,0.0,13
,30.77%,53.85%,7.69%,7.69%,0.00%,,,,,,,
CHEN-461-500,3,6,3,0,1,13 2.769,0.0,0.0,0.0,0.0,0.0,13 NOUNOU M
,23.08%,46.15%,23.08%,0.00%,7.69%,,,,,,,
COURSE TOTAL:,3,6,3,0,1,13 2.769,0.0,0.0,0.0,0.0,0.0,13
,23.08%,46.15%,23.08%,0.00%,7.69%,,,,,,,
CHEN-481-500,6,5,2,0,0,13 3.308,0.0,0.0,0.0,0.0,0.0,13 NOUNOU M
,46.15%,38.46%,15.38%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,6,5,2,0,0,13 3.308,0.0,0.0,0.0,0.0,0.0,13
,46.15%,38.46%,15.38%,0.00%,0.00%,,,,,,,
KINE-198-501,7,2,1 1,,0,11 3.364,0.0,8.0,1.0,0.0,0.0,20 CANTERBURY T
,63.64%,18.18%,9.09%9.09%,,0.00%,,,,,,,
KINE-198-502,11,4,0 0,,0,15 3.733,0.0,5.0,0.0,0.0,0.0,20 MINUS M
,73.33%,26.67%,0.00%0.00%,,0.00%,,,,,,,
KINE-198-503,7,3,1 2,,0,13 3.154,0.0,3.0,0.0,0.0,0.0,16 MINUS M
,53.85%,23.08%,7.69%  15.38%,,0.00%,,,,,,,
KINE-198-504,9,1,1 1,,0,12 3.500,0.0,2.0,0.0,1.0,0.0,15 CANTERBURY T
,75.00%,8.33%,8.33%8.33%,,0.00%,,,,,,,
COURSE TOTAL:,34,10,3 4,,0,51 3.451,0.0,18.0,1.0,1.0,0.0,71
,66.67%,19.61%,5.88%7.84%,,0.00%,,,,,,,
DEPARTMENT TOTAL:,34,10,3 4,,0,51 3.451,0.0,18.0,1.0,1.0,0.0,71
,66.67%,19.61%,5.88%7.84%,,0.00%,,,,,,,
COLLEGE TOTAL:,34,10,3 4,,0,51 3.451,0.0,18.0,1.0,1.0,0.0,71
HIST-105-501,0,13,9 3,,0,25 2.400,0.0,0.0,0.0,0.0,0.0,25 WORK D
,0.00%,52.00%,36.00%  12.00%,,0.00%,,,,,,,
HIST-105-502,8,14,5 0,,0,27 3.111,1.0,0.0,0.0,0.0,0.0,28 BICKHAM T
,29.63%,51.85%,18.52%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,8,27,14 3,,0,52 2.769,1.0,0.0,0.0,0.0,0.0,53
,15.38%,51.92%,26.92%5.77%,,0.00%,,,,,,,
HIST-106-501,5,11,5 1,,1,23 2.783,0.0,0.0,0.0,1.0,0.0,24 NESTER T
,21.74%,47.83%,21.74%4.35%,,4.35%,,,,,,,
HIST-106-502,8,4,10 0,,2,24 2.667,0.0,0.0,0.0,1.0,0.0,25 WORK D
,33.33%,16.67%,41.67%0.00%,,8.33%,,,,,,,
COURSE TOTAL:,13,15,15 1,,3,47 2.723,0.0,0.0,0.0,2.0,0.0,49
,27.66%,31.91%,31.91%2.13%,,6.38%,,,,,,,
HIST-230-500,8,8,2 2,,2,22 2.818,0.0,0.0,0.0,1.0,0.0,23 NESTER T
,36.36%,36.36%,9.09%9.09%,,9.09%,,,,,,,
COURSE TOTAL:,8,8,2 2,,2,22 2.818,0.0,0.0,0.0,1.0,0.0,23
,36.36%,36.36%,9.09%9.09%,,9.09%,,,,,,,
MATH-150-500,1,6,5 3,2,,17 2.059,0.0,0.0,0.0,7.0,0.0,24 DUFRESNE R
,5.88%,35.29%,29.41%  17.65%  11.76%,,,,,,,,,
MATH-150-502,9,4,4 2,3,,22 2.636,0.0,0.0,0.0,0.0,0.0,22 JONES S
,40.91%,18.18%,18.18%9.09%  13.64%,,,,,,,,,
COURSE TOTAL:,10,10,9 5,5,,39 2.385,0.0,0.0,0.0,7.0,0.0,46
,25.64%,25.64%,23.08%  12.82%,12.82%,,,,,,,,
MATH-151-503,1,7,6 3,3,,20 2.000,0.0,0.0,0.0,8.0,0.0,28 SCHUMACHER P
,5.00%,35.00%,30.00%  15.00%  15.00%,,,,,,,,,
MATH-151-504,1,2,2 2,2,,9 1.778,0.0,0.0,0.0,3.0,0.0,12 SCHUMACHER P
,11.11%,22.22%,22.22%  22.22%  22.22%,,,,,,,,,
MATH-151-505,2,8,6 0,3,,19 2.316,0.0,0.0,0.0,6.0,0.0,25 DUFRESNE R
,10.53%,42.11%,31.58%0.00%  15.79%,,,,,,,,,
COURSE TOTAL:,4,17,14 5,8,,48 2.083,0.0,0.0,0.0,17.0,0.0,65
,8.33%,35.42%,29.17%  10.42%,16.67%,,,,,,,,
MATH-152-500,2,2,9 2,5,,20 1.700,0.0,0.0,0.0,0.0,0.0,20 JONES S
,10.00%,10.00%,45.00%  10.00%  25.00%,,,,,,,,,
COURSE TOTAL:,2,2,9 2,5,,20 1.700,0.0,0.0,0.0,0.0,0.0,20
,10.00%,10.00%,45.00%  10.00%,25.00%,,,,,,,,
MATH-251-501,6,5,8 2,3,,24 2.375,0.0,0.0,0.0,1.0,0.0,25 BELMONTE A
,25.00%,20.83%,33.33%8.33%  12.50%,,,,,,,,,
MATH-251-502,4,3,10 8,1,,26 2.038,0.0,0.0,0.0,0.0,0.0,26 BELMONTE A
