0,1,2,3,4,5,6,7,8,9,10,11,12
,34.78%,56.52%,8.70%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,8,13,2 0,,0,23 3.261,1.0,0.0,0.0,1.0,0.0,25
,34.78%,56.52%,8.70%0.00%,,0.00%,,,,,,,
GEOG-332-501,8,8,1 0,,0,17 3.412,0.0,0.0,0.0,0.0,0.0,17 PULLEY C
,47.06%,47.06%,5.88%0.00%,,0.00%,,,,,,,
GEOG-332-502,7,5,2 0,,1,15 3.133,0.0,0.0,0.0,0.0,0.0,15 PULLEY C
,46.67%,33.33%,13.33%0.00%,,6.67%,,,,,,,
GEOG-332-503,13,5,1 0,,0,19 3.632,0.0,0.0,0.0,0.0,0.0,19 PULLEY C
,68.42%,26.32%,5.26%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,28,18,4 0,,1,51 3.412,0.0,0.0,0.0,0.0,0.0,51
,54.90%,35.29%,7.84%0.00%,,1.96%,,,,,,,
GEOG-335-500,6,16,10 6,,2,40 2.450,0.0,0.0,0.0,0.0,0.0,40 FLATLEY W
,15.00%,40.00%,25.00%  15.00%,,5.00%,,,,,,,
COURSE TOTAL:,6,16,10 6,,2,40 2.450,0.0,0.0,0.0,0.0,0.0,40
,15.00%,40.00%,25.00%  15.00%,,5.00%,,,,,,,
GEOG-360-900,6,7,5 0,,1,19 2.895,0.0,0.0,0.0,0.0,0.0,19 GUNERALP I
,31.58%,36.84%,26.32%0.00%,,5.26%,,,,,,,
COURSE TOTAL:,6,7,5 0,,1,19 2.895,0.0,0.0,0.0,0.0,0.0,19
,31.58%,36.84%,26.32%0.00%,,5.26%,,,,,,,
GEOG-361-501,4,9,2 1,,1,17 2.824,0.0,0.0,0.0,2.0,0.0,19 KLEIN A
GEOG-361-502,7,5,3,10,,16 3.125,0.0,0.0,0.0,2.0,0.0,18 KLEIN A
,43.75%,31.25%,18.75%,6.25%0.00%,,,,,,,,
COURSE TOTAL:,11,14,5,2 1,,33 2.970,0.0,0.0,0.0,4.0,0.0,37
,33.33%,42.42%,15.15%,6.06%   3.03%,,,,,,,,
GEOG-390-501,8,2,3,10,,14 3.214,0.0,0.0,0.0,1.0,0.0,15 PATZEWITSCH W
,57.14%,14.29%,21.43%,7.14%0.00%,,,,,,,,
GEOG-390-502,9,4,2,00,,15 3.467,0.0,0.0,0.0,0.0,0.0,15 PATZEWITSCH W
,60.00%,26.67%,13.33%,0.00%0.00%,,,,,,,,
GEOG-390-503,1,4,5,02,,12 2.167,0.0,0.0,0.0,2.0,0.0,14 PATZEWITSCH W
