0,1,2,3,4,5,6,7,8,9,10,11,12
AGCJ-105-500,62,40,11,1,1,115 3.400,0.0,0.0,0.0,1.0,0.0,116 DUNSFORD D
,53.91%,34.78%,9.57%,0.87%,0.87%,,,,,,,
COURSE TOTAL:,62,40,11,1,1,115 3.400,0.0,0.0,0.0,1.0,0.0,116
,53.91%,34.78%,9.57%,0.87%,0.87%,,,,,,,
AGCJ-203-900,1,14,5,0,2,22 2.546,1.0,0.0,0.0,0.0,0.0,23 GOODMAN S
,4.55%,63.64%,22.73%,0.00%,9.09%,,,,,,,
AGCJ-203-901,8,10,3,0,2,23 2.956,0.0,0.0,0.0,0.0,0.0,23 GOODMAN S
,34.78%,43.48%,13.04%,0.00%,8.70%,,,,,,,
COURSE TOTAL:,9,24,8,0,4,45 2.756,1.0,0.0,0.0,0.0,0.0,46
,20.00%,53.33%,17.78%,0.00%,8.89%,,,,,,,
AGCJ-303-900,17,3,1,0,0,21 3.762,0.0,0.0,0.0,0.0,0.0,21 NELSON T
,80.95%,14.29%,4.76%,0.00%,0.00%,,,,,,,
AGCJ-303-901,18,2,1,0,0,21 3.810,0.0,0.0,0.0,0.0,0.0,21 NELSON T
,85.71%,9.52%,4.76%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,35,5,2,0,0,42 3.786,0.0,0.0,0.0,0.0,0.0,42
,83.33%,11.90%,4.76%,0.00%,0.00%,,,,,,,
AGCJ-304-500,1,12,4,0,0,17 2.824,0.0,0.0,0.0,0.0,0.0,17 DUNSFORD D
,5.88%,70.59%,23.53%,0.00%,0.00%,,,,,,,
AGCJ-304-501,0,9,4,0,0,13 2.692,0.0,0.0,0.0,0.0,0.0,13 DUNSFORD D
,0.00%,69.23%,30.77%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,21,8,0,0,30 2.767,0.0,0.0,0.0,0.0,0.0,30
,3.33%,70.00%,26.67%,0.00%,0.00%,,,,,,,
AGCJ-305-500,15,14,6,1,1,37 3.108,0.0,0.0,0.0,1.0,0.0,38 NAILE T
COURSE TOTAL:,15,14,6,1,1,37 3.108,0.0,0.0,0.0,1.0,0.0,38
,40.54%,37.84%,16.22%,2.70%,2.70%,,,,,,,
AGCJ-307-500,14,11,2,0,0,27 3.444,0.0,0.0,0.0,0.0,0.0,27 NAILE T
,51.85%,40.74%,7.41%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,14,11,2,0,0,27 3.444,0.0,0.0,0.0,0.0,0.0,27
,51.85%,40.74%,7.41%,0.00%,0.00%,,,,,,,
AGCJ-308-500,6,6,1,0,0,13 3.385,0.0,0.0,0.0,0.0,0.0,13 RUTHERFORD T
,46.15%,46.15%,7.69%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,6,6,1,0,0,13 3.385,0.0,0.0,0.0,0.0,0.0,13
,46.15%,46.15%,7.69%,0.00%,0.00%,,,,,,,
AGCJ-380-501,7,24,10,0,1,42 2.857,2.0,0.0,0.0,0.0,0.0,44 WEGENER R
,16.67%,57.14%,23.81%,0.00%,2.38%,,,,,,,
AGCJ-380-502,4,5,1,0,0,10 3.300,0.0,0.0,0.0,1.0,0.0,11 MCKIM B
,40.00%,50.00%,10.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,11,29,11,0,1,52 2.942,2.0,0.0,0.0,1.0,0.0,55
,21.15%,55.77%,21.15%,0.00%,1.92%,,,,,,,
AGCJ-404-500,13,3,2,1,2,21 3.143,0.0,0.0,0.0,1.0,0.0,22 LEGGETTE H
,61.90%,14.29%,9.52%,4.76%,9.52%,,,,,,,
COURSE TOTAL:,13,3,2,1,2,21 3.143,0.0,0.0,0.0,1.0,0.0,22
,61.90%,14.29%,9.52%,4.76%,9.52%,,,,,,,
AGCJ-405-501,3,5,2,0,0,10 3.100,0.0,0.0,0.0,0.0,0.0,10 RUTHERFORD T
,30.00%,50.00%,20.00%,0.00%,0.00%,,,,,,,
AGCJ-405-502,1,2,3,0,2,8 2.000,2.0,0.0,0.0,0.0,1.0,11 RUTHERFORD T
COURSE TOTAL:,33,3,1,0,0,37 3.865,3.0,0.0,0.0,0.0,1.0,41
,89.19%,8.11%,2.70%,0.00%,0.00%,,,,,,,
ALED-489-501,25,5,1,1,0,32 3.688,0.0,0.0,0.0,0.0,0.0,32 WILLIAMS J
,78.13%,15.63%,3.13%,3.13%,0.00%,,,,,,,
ALED-489-502,25,5,5,1,2,38 3.316,0.0,0.0,0.0,0.0,0.0,38 LOCKETT L
,65.79%,13.16%,13.16%,2.63%,5.26%,,,,,,,
COURSE TOTAL:,50,10,6,2,2,70 3.486,0.0,0.0,0.0,0.0,0.0,70
,71.43%,14.29%,8.57%,2.86%,2.86%,,,,,,,
DEPARTMENT TOTAL:,1286,576,167,35,49,2113 3.427,17.0,0.0,0.0,15.0,2.0,2147
WFSC-407-510,18,0,0,0,0,18 4.000,0.0,0.0,0.0,0.0,0.0,18 LOPEZ R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,18,0,0,0,0,18 4.000,0.0,0.0,0.0,0.0,0.0,18
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
WFSC-408-512,1,5,4,0,0,10 2.700,0.0,0.0,0.0,0.0,0.0,10 SILVY N
,10.00%,50.00%,40.00%,0.00%,0.00%,,,,,,,
WFSC-408-513,3,5,3,0,0,11 3.000,0.0,0.0,0.0,0.0,0.0,11 SILVY N
,27.27%,45.45%,27.27%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,4,10,7,0,0,21 2.857,0.0,0.0,0.0,0.0,0.0,21
,19.05%,47.62%,33.33%,0.00%,0.00%,,,,,,,
WFSC-410-901,2,6,4,1,0,13 2.692,0.0,0.0,0.0,0.0,0.0,13 GELWICK F
,15.38%,46.15%,30.77%,7.69%,0.00%,,,,,,,
WFSC-410-902,1,7,3,0,0,11 2.818,0.0,0.0,0.0,0.0,0.0,11 GELWICK F
,9.09%,63.64%,27.27%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,3,13,7,1,0,24 2.750,0.0,0.0,0.0,0.0,0.0,24
,12.50%,54.17%,29.17%,4.17%,0.00%,,,,,,,
WFSC-420-520,7,20,15,3,0,45 2.689,0.0,0.0,0.0,1.0,0.0,46 ADAMS C
,15.56%,44.44%,33.33%,6.67%,0.00%,,,,,,,
COURSE TOTAL:,7,20,15,3,0,45 2.689,0.0,0.0,0.0,1.0,0.0,46
,15.56%,44.44%,33.33%,6.67%,0.00%,,,,,,,
WFSC-422-500,12,7,3,0,2,24 3.125,1.0,0.0,0.0,0.0,0.0,25 PACKARD J
,50.00%,29.17%,12.50%,0.00%,8.33%,,,,,,,
COURSE TOTAL:,12,7,3,0,2,24 3.125,1.0,0.0,0.0,0.0,0.0,25
WFSC-425-500,6,8,3 0,,0,17 3.176,0.0,0.0,0.0,0.0,0.0,17 FUJIWARA M
,35.29%,47.06%,17.65%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,6,8,3 0,,0,17 3.176,0.0,0.0,0.0,0.0,0.0,17
,35.29%,47.06%,17.65%0.00%,,0.00%,,,,,,,
WFSC-427-500,1,3,5 1,,0,10 2.400,0.0,0.0,0.0,0.0,0.0,10 BUENTELLO GARCIA J
,10.00%,30.00%,50.00%  10.00%,,0.00%,,,,,,,
COURSE TOTAL:,1,3,5 1,,0,10 2.400,0.0,0.0,0.0,0.0,0.0,10
,10.00%,30.00%,50.00%  10.00%,,0.00%,,,,,,,
WFSC-484-527,37,3,0 0,,0,40 3.925,4.0,0.0,0.0,0.0,0.0,44 SLACK R
,92.50%,7.50%,0.00%0.00%,,0.00%,,,,,,,
WFSC-484-574,4,2,0 0,,0,6 3.667,0.0,0.0,0.0,0.0,0.0,6 SLACK R
