0,1,2,3,4,5,6,7,8,9,10,11,12
COURSE TOTAL:,5,1,6,0 0,,12 2.917,0.0,0.0,0.0,2.0,0.0,14
,41.67%,8.33%,50.00%,0.00%   0.00%,,,,,,,,
MATH-411-100,11,10,6,21,,30 2.933,0.0,0.0,0.0,1.0,0.0,31 NEKRASHEVYCH V
,36.67%,33.33%,20.00%,6.67%3.33%,,,,,,,,
COURSE TOTAL:,11,10,6,2 1,,30 2.933,0.0,0.0,0.0,1.0,0.0,31
,36.67%,33.33%,20.00%,6.67%   3.33%,,,,,,,,
MATH-412-200,8,6,3,13,,21 2.714,0.0,0.0,0.0,1.0,0.0,22 LINHART J
,38.10%,28.57%,14.29%,4.76%  14.29%,,,,,,,,
COURSE TOTAL:,8,6,3,1 3,,21 2.714,0.0,0.0,0.0,1.0,0.0,22
,38.10%,28.57%,14.29%,4.76%  14.29%,,,,,,,,
MATH-423-200,11,6,2,01,,20 3.300,0.0,0.0,0.0,0.0,0.0,20 BATTLE G
,55.00%,30.00%,10.00%,0.00%5.00%,,,,,,,,
COURSE TOTAL:,11,6,2,0 1,,20 3.300,0.0,0.0,0.0,0.0,0.0,20
,55.00%,30.00%,10.00%,0.00%   5.00%,,,,,,,,
MATH-433-100,8,3,3,00,,14 3.357,0.0,0.0,0.0,0.0,0.0,14 VOROBETS Y
,57.14%,21.43%,21.43%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,8,3,3,0 0,,14 3.357,0.0,0.0,0.0,0.0,0.0,14
,57.14%,21.43%,21.43%,0.00%   0.00%,,,,,,,,
MATH-601-101,12,9,0,00,,21 3.571,0.0,0.0,0.0,0.0,0.0,21 GUSTAFSON R
,57.14%,42.86%,0.00%,0.00%0.00%,,,,,,,,
MATH-601-102,6,0,0,00,,6 4.000,0.0,0.0,0.0,1.0,0.0,7 COMECH A
,100.00%,0.00%,0.00%,0.00%0.00%,,,,,,,,
MATH-602-200,6,3,3,0,1,13 3.000,0.0,0.0,0.0,0.0,0.0,13 STILLER P
,46.15%,23.08%,23.08%,0.00%,7.69%,,,,,,,
COURSE TOTAL:,6,3,3,0,1,13 3.000,0.0,0.0,0.0,0.0,0.0,13
,46.15%,23.08%,23.08%,0.00%,7.69%,,,,,,,
MATH-610-720,1,5,1,0,0,7 3.000,0.0,0.0,0.0,0.0,0.0,7 SEWELL E
,14.29%,71.43%,14.29%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,5,1,0,0,7 3.000,0.0,0.0,0.0,0.0,0.0,7
,14.29%,71.43%,14.29%,0.00%,0.00%,,,,,,,
MATH-663-201,18,0,0,0,0,18 4.000,0.0,0.0,0.0,0.0,0.0,18 LIMA-FILHO P
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,18,0,0,0,0,18 4.000,0.0,0.0,0.0,0.0,0.0,18
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
MATH-666-700,6,0,0,0,0,6 4.000,0.0,0.0,0.0,0.0,0.0,6 PITTS J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
MATH-666-720,10,0,0,0,0,10 4.000,0.0,0.0,0.0,0.0,0.0,10 PITTS J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,16,0,0,0,0,16 4.000,0.0,0.0,0.0,0.0,0.0,16
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
MATH-696-700,8,0,0,0,0,8 4.000,0.0,0.0,0.0,0.0,0.0,8 PILANT M
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
MATH-696-720,9,1,0,0,0,10 3.900,0.0,0.0,0.0,0.0,0.0,10 PILANT M
,90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,17,1,0,0,0,18 3.944,0.0,0.0,0.0,0.0,0.0,18
ASTR-101-100,12,10,6 0,,0,28 3.214,1.0,0.0,0.0,0.0,0.0,29 KRISCIUNAS K
,42.86%,35.71%,21.43%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,12,10,6 0,,0,28 3.214,1.0,0.0,0.0,0.0,0.0,29
,42.86%,35.71%,21.43%0.00%,,0.00%,,,,,,,
ASTR-102-100,21,5,1 0,,0,27 3.741,0.0,1.0,0.0,0.0,0.0,28 HABAS R
,77.78%,18.52%,3.70%0.00%,,0.00%,,,,,,,
ASTR-102-200,11,2,1 0,,0,14 3.714,0.0,0.0,0.0,0.0,0.0,14 KRISCIUNAS K
,78.57%,14.29%,7.14%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,32,7,2 0,,0,41 3.732,0.0,1.0,0.0,0.0,0.0,42
,78.05%,17.07%,4.88%0.00%,,0.00%,,,,,,,
PHYS-201-301,7,4,7 0,,0,18 3.000,0.0,0.0,0.0,0.0,0.0,18 READING J
,38.89%,22.22%,38.89%0.00%,,0.00%,,,,,,,
PHYS-201-302,1,6,3 3,,0,13 2.385,0.0,0.0,0.0,1.0,0.0,14 READING J
,7.69%,46.15%,23.08%  23.08%,,0.00%,,,,,,,
PHYS-201-304,3,5,4 1,,1,14 2.571,0.0,0.0,0.0,1.0,0.0,15 ALLEN R
,21.43%,35.71%,28.57%7.14%,,7.14%,,,,,,,
COURSE TOTAL:,11,15,14 4,,1,45 2.689,0.0,0.0,0.0,2.0,0.0,47
,24.44%,33.33%,31.11%8.89%,,2.22%,,,,,,,
PHYS-202-301,0,4,2 1,,0,7 2.429,0.0,0.0,0.0,1.0,0.0,8 ALLEN R
,0.00%,57.14%,28.57%  14.29%,,0.00%,,,,,,,
PHYS-202-302,4,3,2 0,,0,9 3.222,0.0,0.0,0.0,0.0,0.0,9 ALLEN R
,44.44%,33.33%,22.22%0.00%,,0.00%,,,,,,,
PHYS-202-303,6,3,11 0,,1,21 2.619,0.0,0.0,0.0,0.0,0.0,21 ALLEN R
,28.57%,14.29%,52.38%0.00%,,4.76%,,,,,,,
COURSE TOTAL:,10,10,15 1 1,,,37 2.730,0.0,0.0,0.0,1.0,0.0,38
,27.03%,27.03%,40.54%2.70%   2.70%,,,,,,,,,
PHYS-208-301,1,3,5 11,,,11 2.182,0.0,0.0,0.0,2.0,0.0,13 LYUKSYUTOV I
,9.09%,27.27%,45.45%9.09%9.09%,,,,,,,,,
PHYS-208-302,2,2,13 12,,,20 2.050,0.0,0.0,0.0,1.0,0.0,21 LYUKSYUTOV I
,10.00%,10.00%,65.00%5.00%  10.00%,,,,,,,,,
PHYS-208-303,2,2,4 41,,,13 2.000,0.0,0.0,0.0,2.0,0.0,15 LYUKSYUTOV I
,15.38%,15.38%,30.77%  30.77%7.69%,,,,,,,,,
PHYS-208-305,0,4,12 21,,,19 2.000,0.0,0.0,0.0,3.0,0.0,22 LYUKSYUTOV I
,0.00%,21.05%,63.16%  10.53%5.26%,,,,,,,,,
COURSE TOTAL:,5,11,34 8 5,,,63 2.048,0.0,0.0,0.0,8.0,0.0,71
,7.94%,17.46%,53.97%  12.70%   7.94%,,,,,,,,,
PHYS-218-301,2,3,3 22,,,12 2.083,0.0,0.0,0.0,2.0,0.0,14 BELYANIN A
,16.67%,25.00%,25.00%  16.67%  16.67%,,,,,,,,,
PHYS-218-302,1,6,5 60,,,18 2.111,0.0,0.0,0.0,0.0,0.0,18 BELYANIN A
,5.56%,33.33%,27.78%  33.33%0.00%,,,,,,,,,
PHYS-218-303,2,3,6 24,,,17 1.824,0.0,0.0,0.0,1.0,0.0,18 BELYANIN A
