0,1,2,3,4,5,6,7,8,9,10,11,12
INTA-605-700,10,1,1 0,0,,12 3.750,0.0,0.0,0.0,0.0,0.0,12 GUERTNER G
,83.33%,8.33%,8.33%0.00%,0.00%,,,,,,,,
INTA-605-720,8,1,0 0,0,,9 3.889,0.0,0.0,0.0,0.0,0.0,9 GUERTNER G
,88.89%,11.11%,0.00%0.00%,0.00%,,,,,,,,
COURSE TOTAL:,18,2,1 0,0,,21 3.810,0.0,0.0,0.0,0.0,0.0,21
,85.71%,9.52%,4.76%0.00%,0.00%,,,,,,,,
INTA-617-100,10,4,0 0,0,,14 3.714,0.0,0.0,0.0,0.0,0.0,14 CASTILLO J
,71.43%,28.57%,0.00%0.00%,0.00%,,,,,,,,
COURSE TOTAL:,10,4,0 0,0,,14 3.714,0.0,0.0,0.0,0.0,0.0,14
,71.43%,28.57%,0.00%0.00%,0.00%,,,,,,,,
INTA-639-700,5,0,0 1,0,,6 3.500,0.0,0.0,0.0,0.0,0.0,6 SMITH S
,83.33%,0.00%,0.00%  16.67%,0.00%,,,,,,,,
COURSE TOTAL:,5,0,0 1,0,,6 3.500,0.0,0.0,0.0,0.0,0.0,6
,83.33%,0.00%,0.00%  16.67%,0.00%,,,,,,,,
INTA-651-700,8,1,0 0,0,,9 3.889,0.0,0.0,0.0,1.0,0.0,10 LASALA P
,88.89%,11.11%,0.00%0.00%,0.00%,,,,,,,,
INTA-651-720,4,1,0 0,1,,6 3.167,0.0,0.0,0.0,1.0,0.0,7 LASALA P
,66.67%,16.67%,0.00%0.00%  16.67%,,,,,,,,,
COURSE TOTAL:,12,2,0 0,1,,15 3.600,0.0,0.0,0.0,2.0,0.0,17
,80.00%,13.33%,0.00%0.00%,6.67%,,,,,,,,
INTA-652-100,10,5,0 0,0,,15 3.667,0.0,0.0,0.0,0.0,0.0,15 OLSON J
,66.67%,33.33%,0.00%0.00%,0.00%,,,,,,,,
INTA-652-700,11,0,0 0,0,,11 4.000,0.0,0.0,0.0,0.0,0.0,11 KELLEY B
COURSE TOTAL:,21,5,0,0,0,26 3.808,0.0,0.0,0.0,0.0,0.0,26
,80.77%,19.23%,0.00%,0.00%,0.00%,,,,,,,
INTA-656-700,8,2,0,0,1,11 3.454,0.0,0.0,0.0,0.0,0.0,11 ROLLINS J
,72.73%,18.18%,0.00%,0.00%,9.09%,,,,,,,
COURSE TOTAL:,8,2,0,0,1,11 3.455,0.0,0.0,0.0,0.0,0.0,11
,72.73%,18.18%,0.00%,0.00%,9.09%,,,,,,,
INTA-689-702,3,1,1,0,0,5 3.400,0.0,0.0,0.0,0.0,0.0,5 COAKLEY T
,60.00%,20.00%,20.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,3,1,1,0,0,5 3.400,0.0,0.0,0.0,0.0,0.0,5
,60.00%,20.00%,20.00%,0.00%,0.00%,,,,,,,
PSAA-605-700,3,2,0,0,0,5 3.600,0.0,0.0,0.0,0.0,1.0,6 CROFT T
,60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,3,2,0,0,0,5 3.600,0.0,0.0,0.0,0.0,1.0,6
,60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,
PSAA-630-700,5,2,0,0,0,7 3.714,1.0,0.0,0.0,0.0,0.0,8 DORCH E
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,5,2,0,0,0,7 3.714,1.0,0.0,0.0,0.0,0.0,8
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,
PSAA-636-700,13,2,0,0,0,15 3.867,4.0,0.0,0.0,0.0,0.0,19 STROM S
,86.67%,13.33%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,13,2,0,0,0,15 3.867,4.0,0.0,0.0,0.0,0.0,19
,86.67%,13.33%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,10,2,0,0,0,12 3.833,0.0,0.0,0.0,0.0,0.0,12
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,
PSAA-689-701,4,1,0,0,0,5 3.800,0.0,0.0,0.0,0.0,0.0,5 WHITTEN G
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,4,1,0,0,0,5 3.800,0.0,0.0,0.0,0.0,0.0,5
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,
DEPARTMENT TOTAL:,112,25,2,1,2,142 3.718,5.0,0.0,0.0,2.0,1.0,150
,78.87%,17.61%,1.41%,0.70%,1.41%,,,,,,,
COLLEGE TOTAL:,112,25,2,1,2,142 3.718,5.0,0.0,0.0,2.0,1.0,150
