0,1,2,3,4,5,6,7,8,9,10,11,12
ARCH-331-100,5,6,4,0,1,16 2.875,3.0,0.0,0.0,0.0,0.0,19 NICHOLS A
,31.25%,37.50%,25.00%,0.00%,6.25%,,,,,,,
COURSE TOTAL:,5,6,4,0,1,16 2.875,3.0,0.0,0.0,0.0,0.0,19
,31.25%,37.50%,25.00%,0.00%,6.25%,,,,,,,
ARCH-603-300,8,3,0,0,0,11 3.727,0.0,0.0,0.0,0.0,0.0,11 ERMINY M
,72.73%,27.27%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,8,3,0,0,0,11 3.727,0.0,0.0,0.0,0.0,0.0,11
,72.73%,27.27%,0.00%,0.00%,0.00%,,,,,,,
ENDS-101-200,147,8,2,0,2,159 3.874,0.0,0.0,0.0,0.0,0.0,159 HILL R
,92.45%,5.03%,1.26%,0.00%,1.26%,,,,,,,
COURSE TOTAL:,147,8,2,0,2,159 3.874,0.0,0.0,0.0,0.0,0.0,159
,92.45%,5.03%,1.26%,0.00%,1.26%,,,,,,,
ENDS-105-101,6,4,0,0,0,10 3.600,0.0,0.0,0.0,0.0,0.0,10 FAIREY J
,60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,
ENDS-105-102,10,1,0,0,0,11 3.909,0.0,0.0,0.0,0.0,0.0,11 CAMPAGNOL G
,90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,16,5,0,0,0,21 3.762,0.0,0.0,0.0,0.0,0.0,21
,76.19%,23.81%,0.00%,0.00%,0.00%,,,,,,,
ENDS-106-201,7,6,0,0,0,13 3.538,0.0,0.0,0.0,0.0,0.0,13 ESQUIVEL J
,53.85%,46.15%,0.00%,0.00%,0.00%,,,,,,,
ENDS-106-202,6,3,2,0,0,11 3.364,0.0,0.0,0.0,0.0,0.0,11 DE PAOLA P
,54.55%,27.27%,18.18%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,13,9,2,0,0,24 3.458,0.0,0.0,0.0,0.0,0.0,24
ENDS-115-101,0,11,0,0,0,11 3.000,0.0,0.0,0.0,0.0,0.0,11 DAVISON R
,0.00%,100.00%,0.00%,0.00%,0.00%,,,,,,,
ENDS-115-102,8,5,0,0,0,13 3.615,0.0,0.0,0.0,0.0,0.0,13 DAVISON R
,61.54%,38.46%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,8,16,0,0,0,24 3.333,0.0,0.0,0.0,0.0,0.0,24
,33.33%,66.67%,0.00%,0.00%,0.00%,,,,,,,
ENDS-116-201,7,4,1,0,0,12 3.500,0.0,0.0,0.0,0.0,0.0,12 ESQUIVEL J
,58.33%,33.33%,8.33%,0.00%,0.00%,,,,,,,
ENDS-116-202,9,2,0,0,0,11 3.818,0.0,0.0,0.0,0.0,0.0,11 DE PAOLA P
,81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,16,6,1,0,0,23 3.652,0.0,0.0,0.0,0.0,0.0,23
,69.57%,26.09%,4.35%,0.00%,0.00%,,,,,,,
DEPARTMENT TOTAL:,213,53,9,0,3,278 3.701,3.0,0.0,0.0,0.0,0.0,281
COURSE TOTAL:,3,3,0,0,0,6 3.500,0.0,0.0,0.0,0.0,0.0,6
,50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,
VIZA-627-300,15,0,0,0,0,15 4.000,0.0,0.0,0.0,0.0,0.0,15 MCNAMARA A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,15,0,0,0,0,15 4.000,0.0,0.0,0.0,0.0,0.0,15
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
