0,1,2,3,4,5,6,7,8,9,10,11,12
BUSH-601-601,8,8,0,0,0,16 3.500,0.0,0.0,0.0,0.0,0.0,16 BEARFIELD D
,50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,
BUSH-601-602,3,15,1,0,1,20 2.950,1.0,0.0,0.0,0.0,0.0,21 BEARFIELD D
,15.00%,75.00%,5.00%,0.00%,5.00%,,,,,,,
BUSH-601-603,11,7,0,0,0,18 3.611,0.0,0.0,0.0,0.0,0.0,18 WEST W
,61.11%,38.89%,0.00%,0.00%,0.00%,,,,,,,
BUSH-601-604,11,7,0,0,0,18 3.611,0.0,0.0,0.0,1.0,0.0,19 CERAMI J
,61.11%,38.89%,0.00%,0.00%,0.00%,,,,,,,
BUSH-601-605,14,6,0,0,0,20 3.700,0.0,0.0,0.0,0.0,0.0,20 CERAMI J
,70.00%,30.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,47,43,1,0,1,92 3.467,1.0,0.0,0.0,1.0,0.0,94
,51.09%,46.74%,1.09%,0.00%,1.09%,,,,,,,
BUSH-631-601,17,4,2,0,0,23 3.652,0.0,0.0,0.0,0.0,0.0,23 LAHEY J
,73.91%,17.39%,8.70%,0.00%,0.00%,,,,,,,
BUSH-631-602,8,9,4,0,0,21 3.190,0.0,0.0,0.0,1.0,0.0,22 REINHARDT G
,38.10%,42.86%,19.05%,0.00%,0.00%,,,,,,,
BUSH-631-603,10,6,4,1,0,21 3.190,1.0,0.0,0.0,0.0,0.0,22 REINHARDT G
,47.62%,28.57%,19.05%,4.76%,0.00%,,,,,,,
BUSH-631-604,12,1,0,1,1,15 3.467,0.0,0.0,0.0,0.0,0.0,15 OXLEY D
,80.00%,6.67%,0.00%,6.67%,6.67%,,,,,,,
COURSE TOTAL:,47,20,10,2,1,80 3.375,1.0,0.0,0.0,1.0,0.0,82
,58.75%,25.00%,12.50%,2.50%,1.25%,,,,,,,
INTA-602-700,5,0,0,0,0,5 4.000,1.0,0.0,0.0,1.0,0.0,7 DAVIS D
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
INTA-603-600,16,4,0,0,0,20 3.800,0.0,0.0,0.0,0.0,0.0,20 CROCKER R
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,16,4,0,0,0,20 3.800,0.0,0.0,0.0,0.0,0.0,20
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,
INTA-605-700,15,5,1,0,1,22 3.500,0.0,0.0,0.0,0.0,0.0,22 GUERTNER G
,68.18%,22.73%,4.55%,0.00%,4.55%,,,,,,,
INTA-605-720,10,0,0,0,0,10 4.000,1.0,0.0,0.0,0.0,0.0,11 GUERTNER G
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,25,5,1,0,1,32 3.656,1.0,0.0,0.0,0.0,0.0,33
,78.13%,15.63%,3.13%,0.00%,3.13%,,,,,,,
INTA-606-601,9,11,0,0,0,20 3.450,1.0,0.0,0.0,0.0,0.0,21 HERMANN C
,45.00%,55.00%,0.00%,0.00%,0.00%,,,,,,,
INTA-606-602,9,7,0,0,0,16 3.562,0.0,0.0,0.0,0.0,0.0,16 HERMANN C
,56.25%,43.75%,0.00%,0.00%,0.00%,,,,,,,
INTA-606-603,10,7,1,0,0,18 3.500,0.0,0.0,0.0,0.0,0.0,18 LAYNE C
,55.56%,38.89%,5.56%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,28,25,1,0,0,54 3.500,1.0,0.0,0.0,0.0,0.0,55
,51.85%,46.30%,1.85%,0.00%,0.00%,,,,,,,
INTA-608-600,32,22,1,0,0,55 3.564,1.0,0.0,0.0,0.0,0.0,56 GAWANDE K
,58.18%,40.00%,1.82%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,32,22,1,0,0,55 3.564,1.0,0.0,0.0,0.0,0.0,56
,58.18%,40.00%,1.82%,0.00%,0.00%,,,,,,,
INTA-620-600,4,2,0,0,0,6 3.667,0.0,0.0,0.0,1.0,0.0,7 CASTILLO J
COURSE TOTAL:,4,2,0,0,0,6 3.667,0.0,0.0,0.0,1.0,0.0,7
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,
INTA-625-600,16,0,0,0,0,16 4.000,0.0,0.0,0.0,0.0,0.0,16 GAWANDE K
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,16,0,0,0,0,16 4.000,0.0,0.0,0.0,0.0,0.0,16
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
INTA-639-700,5,1,0,0,0,6 3.833,0.0,0.0,0.0,0.0,0.0,6 MUNN J
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,5,1,0,0,0,6 3.833,0.0,0.0,0.0,0.0,0.0,6
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,
INTA-651-600,5,2,0,0,0,7 3.714,0.0,0.0,0.0,0.0,1.0,8 LAYNE C
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,
INTA-651-700,11,0,0,0,1,12 3.667,0.0,0.0,0.0,1.0,0.0,13 REYNOLDS K
,91.67%,0.00%,0.00%,0.00%,8.33%,,,,,,,
INTA-651-720,6,0,0,0,0,6 4.000,2.0,0.0,0.0,0.0,0.0,8 REYNOLDS K
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
