0,1,2,3,4,5,6,7,8,9,10,11,12
BUSH-601-600,5,7,0,00,,12 3.417,0.0,0.0,0.0,0.0,0.0,12 CERAMI J
,41.67%,58.33%,0.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,5,7,0,0 0,,12 3.417,0.0,0.0,0.0,0.0,0.0,12
,41.67%,58.33%,0.00%,0.00%   0.00%,,,,,,,,
BUSH-635-601,15,10,0,00,,25 3.600,0.0,0.0,0.0,0.0,0.0,25 CORTES K
,60.00%,40.00%,0.00%,0.00%0.00%,,,,,,,,
BUSH-635-602,16,3,0,00,,19 3.842,0.0,0.0,0.0,0.0,0.0,19 OXLEY D
,84.21%,15.79%,0.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,31,13,0,0 0,,44 3.705,0.0,0.0,0.0,0.0,0.0,44
,70.45%,29.55%,0.00%,0.00%   0.00%,,,,,,,,
INTA-603-700,6,3,0,01,,10 3.300,1.0,0.0,0.0,0.0,2.0,13 LARSEN J
,60.00%,30.00%,0.00%,0.00%  10.00%,,,,,,,,
COURSE TOTAL:,6,3,0,0 1,,10 3.300,1.0,0.0,0.0,0.0,2.0,13
,60.00%,30.00%,0.00%,0.00%  10.00%,,,,,,,,
INTA-605-601,11,13,1,00,,25 3.400,0.0,0.0,0.0,0.0,0.0,25 HUDSON V
,44.00%,52.00%,4.00%,0.00%0.00%,,,,,,,,
INTA-605-602,15,9,0,00,,24 3.625,1.0,0.0,0.0,1.0,0.0,26 LAYNE C
,62.50%,37.50%,0.00%,0.00%0.00%,,,,,,,,
INTA-605-700,7,3,0,01,,11 3.364,0.0,0.0,0.0,0.0,0.0,11 GUERTNER G
,63.64%,27.27%,0.00%,0.00%9.09%,,,,,,,,
INTA-605-720,11,0,0,00,,11 4.000,0.0,0.0,0.0,1.0,0.0,12 GUERTNER G
,100.00%,0.00%,0.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,44,25,1,0 1,,71 3.563,1.0,0.0,0.0,2.0,0.0,74
INTA-609-700,2,2,2,0,0,6 3.000,0.0,0.0,0.0,1.0,0.0,7 HOVER M
,33.33%,33.33%,33.33%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,2,2,0,0,6 3.000,0.0,0.0,0.0,1.0,0.0,7
,33.33%,33.33%,33.33%,0.00%,0.00%,,,,,,,
INTA-612-600,15,6,0,0,0,21 3.714,0.0,0.0,0.0,0.0,0.0,21 SIEVERT R
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,15,6,0,0,0,21 3.714,0.0,0.0,0.0,0.0,0.0,21
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,
INTA-613-601,10,0,0,0,0,10 4.000,0.0,0.0,0.0,0.0,0.0,10 NAPPER L
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
INTA-613-602,9,1,0,0,0,10 3.900,0.0,0.0,0.0,0.0,0.0,10 NAPPER L
,90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,19,1,0,0,0,20 3.950,0.0,0.0,0.0,0.0,0.0,20
,95.00%,5.00%,0.00%,0.00%,0.00%,,,,,,,
INTA-617-600,18,7,0,0,0,25 3.720,1.0,0.0,0.0,0.0,0.0,26 CASTILLO J
,72.00%,28.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,18,7,0,0,0,25 3.720,1.0,0.0,0.0,0.0,0.0,26
,72.00%,28.00%,0.00%,0.00%,0.00%,,,,,,,
INTA-619-700,9,7,0,0,0,16 3.562,0.0,0.0,0.0,0.0,1.0,17 WERMUTH M
,56.25%,43.75%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,9,7,0,0,0,16 3.563,0.0,0.0,0.0,0.0,1.0,17
,56.25%,43.75%,0.00%,0.00%,0.00%,,,,,,,
INTA-625-600,21,13,0,0,0,34 3.618,0.0,0.0,0.0,0.0,0.0,34 GAWANDE K
COURSE TOTAL:,21,13,0,0 0,,34 3.618,0.0,0.0,0.0,0.0,0.0,34
,61.76%,38.24%,0.00%,0.00%   0.00%,,,,,,,,
INTA-639-700,7,0,0,01,,8 3.500,1.0,0.0,0.0,0.0,0.0,9 SMITH S
,87.50%,0.00%,0.00%,0.00%  12.50%,,,,,,,,
COURSE TOTAL:,7,0,0,0 1,,8 3.500,1.0,0.0,0.0,0.0,0.0,9
,87.50%,0.00%,0.00%,0.00%  12.50%,,,,,,,,
INTA-651-600,9,7,0,00,,16 3.562,0.0,0.0,0.0,0.0,0.0,16 CERAMI J
,56.25%,43.75%,0.00%,0.00%0.00%,,,,,,,,
INTA-651-700,12,2,0,00,,14 3.857,0.0,0.0,0.0,0.0,0.0,14 REYNOLDS K
,85.71%,14.29%,0.00%,0.00%0.00%,,,,,,,,
INTA-651-720,6,1,0,01,,8 3.375,0.0,0.0,0.0,0.0,0.0,8 REYNOLDS K
,75.00%,12.50%,0.00%,0.00%  12.50%,,,,,,,,
INTA-651-721,7,0,0,00,,7 4.000,0.0,0.0,0.0,0.0,0.0,7 CERAMI J
,100.00%,0.00%,0.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,34,10,0,0 1,,45 3.689,0.0,0.0,0.0,0.0,0.0,45
,75.56%,22.22%,0.00%,0.00%   2.22%,,,,,,,,
INTA-652-600,16,8,0,00,,24 3.667,0.0,0.0,0.0,0.0,0.0,24 OLSON J
,66.67%,33.33%,0.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,16,8,0,0 0,,24 3.667,0.0,0.0,0.0,0.0,0.0,24
,66.67%,33.33%,0.00%,0.00%   0.00%,,,,,,,,
INTA-653-700,9,3,2,00,,14 3.500,0.0,0.0,0.0,0.0,0.0,14 HEITCHUE R
,64.29%,21.43%,14.29%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,9,3,2,0 0,,14 3.500,0.0,0.0,0.0,0.0,0.0,14
INTA-654-720,4,0,1,00,,5 3.600,1.0,0.0,0.0,0.0,0.0,6 FABER P
,80.00%,0.00%,20.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,4,0,1,0 0,,5 3.600,1.0,0.0,0.0,0.0,0.0,6
,80.00%,0.00%,20.00%,0.00%   0.00%,,,,,,,,
INTA-655-600,12,1,0,00,,13 3.923,1.0,0.0,0.0,0.0,0.0,14 MARIN THORNTON G
,92.31%,7.69%,0.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,12,1,0,0 0,,13 3.923,1.0,0.0,0.0,0.0,0.0,14
,92.31%,7.69%,0.00%,0.00%   0.00%,,,,,,,,
INTA-656-700,5,0,0,02,,7 2.857,0.0,0.0,0.0,0.0,0.0,7 ROLLINS J
,71.43%,0.00%,0.00%,0.00%  28.57%,,,,,,,,
COURSE TOTAL:,5,0,0,0 2,,7 2.857,0.0,0.0,0.0,0.0,0.0,7
,71.43%,0.00%,0.00%,0.00%  28.57%,,,,,,,,
INTA-667-600,12,6,0,00,,18 3.667,1.0,0.0,0.0,0.0,0.0,19 OLSON J
,66.67%,33.33%,0.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,12,6,0,0 0,,18 3.667,1.0,0.0,0.0,0.0,0.0,19
,66.67%,33.33%,0.00%,0.00%   0.00%,,,,,,,,
INTA-670-601,9,0,0,00,,9 4.000,0.0,0.0,0.0,0.0,0.0,9 MACNAMEE R
,100.00%,0.00%,0.00%,0.00%0.00%,,,,,,,,
INTA-670-602,8,0,0,00,,8 4.000,0.0,0.0,0.0,0.0,0.0,8 SIEVERT R
,100.00%,0.00%,0.00%,0.00%0.00%,,,,,,,,
INTA-670-603,5,0,0,00,,5 4.000,0.0,0.0,0.0,0.0,0.0,5 ENGEL J
,100.00%,0.00%,0.00%,0.00%0.00%,,,,,,,,
INTA-670-604,6,0,0,00,,6 4.000,0.0,0.0,0.0,0.0,0.0,6 GAWANDE K
INTA-670-605,9,0,0,00,,9 4.000,0.0,0.0,0.0,0.0,0.0,9 CASTILLO J
,100.00%,0.00%,0.00%,0.00%0.00%,,,,,,,,
INTA-670-606,6,0,0,00,,6 4.000,0.0,0.0,0.0,0.0,0.0,6 MU R
,100.00%,0.00%,0.00%,0.00%0.00%,,,,,,,,
INTA-670-607,7,0,0,00,,7 4.000,0.0,0.0,0.0,0.0,0.0,7 MARIN THORNTON G
,100.00%,0.00%,0.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,50,0,0,0 0,,50 4.000,0.0,0.0,0.0,0.0,0.0,50
,100.00%,0.00%,0.00%,0.00%   0.00%,,,,,,,,
INTA-677-600,6,1,2,01,,10 3.100,0.0,0.0,0.0,0.0,0.0,10 EL-HUSSEINI R
,60.00%,10.00%,20.00%,0.00%  10.00%,,,,,,,,
COURSE TOTAL:,6,1,2,0 1,,10 3.100,0.0,0.0,0.0,0.0,0.0,10
,60.00%,10.00%,20.00%,0.00%  10.00%,,,,,,,,
INTA-680-700,5,5,0,00,,10 3.500,0.0,0.0,0.0,0.0,0.0,10 SMITH J
,50.00%,50.00%,0.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,5,5,0,0 0,,10 3.500,0.0,0.0,0.0,0.0,0.0,10
,50.00%,50.00%,0.00%,0.00%   0.00%,,,,,,,,
INTA-689-601,18,0,0,00,,18 4.000,0.0,0.0,0.0,0.0,2.0,20 MACNAMEE R
,100.00%,0.00%,0.00%,0.00%0.00%,,,,,,,,
INTA-689-602,7,0,0,00,,7 4.000,0.0,0.0,0.0,0.0,0.0,7 HUDSON V
,100.00%,0.00%,0.00%,0.00%0.00%,,,,,,,,
INTA-689-603,11,1,1,00,,13 3.769,1.0,0.0,0.0,0.0,0.0,14 EL-HUSSEINI R
,84.62%,7.69%,7.69%,0.00%0.00%,,,,,,,,
INTA-689-604,5,3,0,00,,8 3.625,0.0,0.0,0.0,0.0,0.0,8 LU X
,62.50%,37.50%,0.00%,0.00%0.00%,,,,,,,,
INTA-689-606,19,1,0,00,,20 3.950,0.0,0.0,0.0,0.0,0.0,20 MACNAMEE R
,95.00%,5.00%,0.00%,0.00%0.00%,,,,,,,,
INTA-689-650,15,2,0,00,,17 3.882,0.0,0.0,0.0,0.0,0.0,17 NAPPER L
,88.24%,11.76%,0.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,85,11,1,0 0,,97 3.866,1.0,0.0,0.0,0.0,11.0,109
,87.63%,11.34%,1.03%,0.00%   0.00%,,,,,,,,
PSAA-605-600,11,1,0,00,,12 3.917,0.0,0.0,0.0,0.0,0.0,12 CAUDLE S
,91.67%,8.33%,0.00%,0.00%0.00%,,,,,,,,
PSAA-605-700,6,0,0,01,,7 3.429,0.0,0.0,0.0,0.0,0.0,7 CROFT T
,85.71%,0.00%,0.00%,0.00%  14.29%,,,,,,,,
COURSE TOTAL:,17,1,0,0 1,,19 3.737,0.0,0.0,0.0,0.0,0.0,19
,89.47%,5.26%,0.00%,0.00%   5.26%,,,,,,,,
PSAA-608-700,8,0,0,01,,9 3.556,1.0,0.0,0.0,0.0,0.0,10 WHITTEN G
,88.89%,0.00%,0.00%,0.00%  11.11%,,,,,,,,
COURSE TOTAL:,8,0,0,0 1,,9 3.556,1.0,0.0,0.0,0.0,0.0,10
,88.89%,0.00%,0.00%,0.00%  11.11%,,,,,,,,
PSAA-611-600,12,8,0,00,,20 3.600,0.0,0.0,0.0,0.0,0.0,20 WEST W
,60.00%,40.00%,0.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,12,8,0,0 0,,20 3.600,0.0,0.0,0.0,0.0,0.0,20
,60.00%,40.00%,0.00%,0.00%   0.00%,,,,,,,,
PSAA-617-600,16,4,0,00,,20 3.800,0.0,0.0,0.0,0.0,0.0,20 BOWMAN A
,80.00%,20.00%,0.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,16,4,0,0 0,,20 3.800,0.0,0.0,0.0,0.0,0.0,20
PSAA-618-600,17,5,0,00,,22 3.773,1.0,0.0,0.0,0.0,0.0,23 TAYLOR L
,77.27%,22.73%,0.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,17,5,0,0 0,,22 3.773,1.0,0.0,0.0,0.0,0.0,23
,77.27%,22.73%,0.00%,0.00%   0.00%,,,,,,,,
PSAA-622-601,6,4,4,00,,14 3.143,0.0,0.0,0.0,0.0,0.0,14 LAHEY J
,42.86%,28.57%,28.57%,0.00%0.00%,,,,,,,,
PSAA-622-602,7,5,0,00,,12 3.583,0.0,0.0,0.0,0.0,0.0,12 LAHEY J
,58.33%,41.67%,0.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,13,9,4,0 0,,26 3.346,0.0,0.0,0.0,0.0,0.0,26
,50.00%,34.62%,15.38%,0.00%   0.00%,,,,,,,,
PSAA-630-600,18,3,0,00,,21 3.857,0.0,0.0,0.0,1.0,0.0,22 DORCH E
,85.71%,14.29%,0.00%,0.00%0.00%,,,,,,,,
PSAA-630-601,14,5,0,00,,19 3.737,0.0,0.0,0.0,0.0,0.0,19 BRIGHT L
,73.68%,26.32%,0.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,32,8,0,0 0,,40 3.800,0.0,0.0,0.0,1.0,0.0,41
,80.00%,20.00%,0.00%,0.00%   0.00%,,,,,,,,
PSAA-632-700,7,1,1,01,,10 3.300,0.0,0.0,0.0,1.0,0.0,11 CAUDLE S
,70.00%,10.00%,10.00%,0.00%  10.00%,,,,,,,,
COURSE TOTAL:,7,1,1,0 1,,10 3.300,0.0,0.0,0.0,1.0,0.0,11
,70.00%,10.00%,10.00%,0.00%  10.00%,,,,,,,,
PSAA-633-600,14,2,0,00,,16 3.875,0.0,0.0,0.0,0.0,0.0,16 ROSSER A
,87.50%,12.50%,0.00%,0.00%0.00%,,,,,,,,
PSAA-633-700,15,2,0,01,,18 3.667,0.0,0.0,0.0,0.0,0.0,18 ZUNIGA K
COURSE TOTAL:,29,4,0,0,1,34 3.765,0.0,0.0,0.0,0.0,0.0,34
,85.29%,11.76%,0.00%,0.00%,2.94%,,,,,,,
PSAA-634-602,9,7,0,0,0,16 3.562,1.0,0.0,0.0,0.0,0.0,17 ROBINSON S
,56.25%,43.75%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,9,7,0,0,0,16 3.563,1.0,0.0,0.0,0.0,0.0,17
,56.25%,43.75%,0.00%,0.00%,0.00%,,,,,,,
PSAA-635-600,7,1,0,0,0,8 3.875,0.0,0.0,0.0,0.0,0.0,8 DORCH E
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,7,1,0,0,0,8 3.875,0.0,0.0,0.0,0.0,0.0,8
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,
PSAA-637-600,13,5,0,0,0,18 3.722,0.0,0.0,0.0,0.0,0.0,18 MUMPOWER J
,72.22%,27.78%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,13,5,0,0,0,18 3.722,0.0,0.0,0.0,0.0,0.0,18
,72.22%,27.78%,0.00%,0.00%,0.00%,,,,,,,
PSAA-640-600,12,9,1,0,0,22 3.500,0.0,0.0,0.0,1.0,0.0,23 GRIFFIN J
,54.55%,40.91%,4.55%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,12,9,1,0,0,22 3.500,0.0,0.0,0.0,1.0,0.0,23
,54.55%,40.91%,4.55%,0.00%,0.00%,,,,,,,
PSAA-642-600,3,8,0,0,0,11 3.273,1.0,0.0,0.0,0.0,2.0,14 BEARFIELD D
,27.27%,72.73%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,3,8,0,0,0,11 3.273,1.0,0.0,0.0,0.0,2.0,14
,27.27%,72.73%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,19,0,0,0 1,,20 3.800,0.0,0.0,0.0,0.0,0.0,20
,95.00%,0.00%,0.00%,0.00%   5.00%,,,,,,,,
PSAA-644-600,11,5,0,01,,17 3.471,0.0,0.0,0.0,0.0,0.0,17 BROWN W
,64.71%,29.41%,0.00%,0.00%5.88%,,,,,,,,
PSAA-644-700,17,0,0,03,,20 3.400,0.0,0.0,0.0,3.0,0.0,23 LITTLE C
,85.00%,0.00%,0.00%,0.00%  15.00%,,,,,,,,
COURSE TOTAL:,28,5,0,0 4,,37 3.432,0.0,0.0,0.0,3.0,0.0,40
,75.68%,13.51%,0.00%,0.00%  10.81%,,,,,,,,
PSAA-645-600,7,0,0,01,,8 3.500,0.0,0.0,0.0,0.0,0.0,8 ROBINSON S
,87.50%,0.00%,0.00%,0.00%  12.50%,,,,,,,,
COURSE TOTAL:,7,0,0,0 1,,8 3.500,0.0,0.0,0.0,0.0,0.0,8
,87.50%,0.00%,0.00%,0.00%  12.50%,,,,,,,,
PSAA-648-600,11,1,0,00,,12 3.917,0.0,0.0,0.0,0.0,0.0,12 KERR D
,91.67%,8.33%,0.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,11,1,0,0 0,,12 3.917,0.0,0.0,0.0,0.0,0.0,12
,91.67%,8.33%,0.00%,0.00%   0.00%,,,,,,,,
PSAA-649-700,4,5,0,02,,11 2.818,2.0,0.0,0.0,0.0,0.0,13 BROWN W
,36.36%,45.45%,0.00%,0.00%  18.18%,,,,,,,,
COURSE TOTAL:,4,5,0,0 2,,11 2.818,2.0,0.0,0.0,0.0,0.0,13
,36.36%,45.45%,0.00%,0.00%  18.18%,,,,,,,,
PSAA-676-601,7,1,0,00,,8 3.875,0.0,0.0,0.0,0.0,0.0,8 DORCH E
,87.50%,12.50%,0.00%,0.00%0.00%,,,,,,,,
PSAA-676-602,9,0,0,00,,9 4.000,0.0,0.0,0.0,0.0,0.0,9 BOWMAN A
PSAA-676-603,8,0,0,0,0,8 4.000,0.0,0.0,0.0,0.0,0.0,8 BIES A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
