0,1,2,3,4,5,6,7,8,9,10,11,12
BUSH-601-604,14,15,0,00,,29 3.483,0.0,0.0,0.0,0.0,0.0,29 CERAMI J
,48.28%,51.72%,0.00%,0.00%0.00%,,,,,,,,
BUSH-601-605,18,15,0,00,,33 3.546,0.0,0.0,0.0,0.0,0.0,33 CERAMI J
,54.55%,45.45%,0.00%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,32,30,0,0 0,,62 3.516,0.0,0.0,0.0,0.0,0.0,62
,51.61%,48.39%,0.00%,0.00%   0.00%,,,,,,,,
BUSH-631-603,9,15,1,00,,25 3.320,0.0,0.0,0.0,0.0,0.0,25 REINHARDT G
,36.00%,60.00%,4.00%,0.00%0.00%,,,,,,,,
BUSH-631-604,8,6,2,00,,16 3.375,0.0,0.0,0.0,0.0,0.0,16 REINHARDT G
,50.00%,37.50%,12.50%,0.00%0.00%,,,,,,,,
BUSH-631-605,12,7,0,00,,19 3.632,0.0,0.0,0.0,0.0,0.0,19 LU X
,63.16%,36.84%,0.00%,0.00%0.00%,,,,,,,,
BUSH-631-606,12,3,1,10,,17 3.529,0.0,0.0,0.0,0.0,0.0,17 OXLEY D
,70.59%,17.65%,5.88%,5.88%0.00%,,,,,,,,
COURSE TOTAL:,41,31,4,1 0,,77 3.455,0.0,0.0,0.0,0.0,0.0,77
,53.25%,40.26%,5.19%,1.30%   0.00%,,,,,,,,
INTA-603-601,6,3,0,00,,9 3.667,0.0,0.0,0.0,0.0,0.0,9 NAPPER L
,66.67%,33.33%,0.00%,0.00%0.00%,,,,,,,,
INTA-603-602,6,4,0,00,,10 3.600,0.0,0.0,0.0,0.0,0.0,10 NAPPER L
,60.00%,40.00%,0.00%,0.00%0.00%,,,,,,,,
INTA-603-700,5,2,0,01,,8 3.250,0.0,0.0,0.0,1.0,0.0,9 LASALA P
,62.50%,25.00%,0.00%,0.00%  12.50%,,,,,,,,
COURSE TOTAL:,17,9,0,0 1,,27 3.519,0.0,0.0,0.0,1.0,0.0,28
,62.96%,33.33%,0.00%,0.00%   3.70%,,,,,,,,
COURSE TOTAL:,8,1,1,0 0,,10 3.700,1.0,0.0,0.0,1.0,0.0,12
,80.00%,10.00%,10.00%,0.00%   0.00%,,,,,,,,
INTA-605-700,10,3,0,00,,13 3.769,0.0,0.0,0.0,0.0,0.0,13 LASALA P
,76.92%,23.08%,0.00%,0.00%0.00%,,,,,,,,
INTA-605-720,8,0,0,02,,10 3.200,0.0,0.0,0.0,0.0,0.0,10 LASALA P
,80.00%,0.00%,0.00%,0.00%  20.00%,,,,,,,,
COURSE TOTAL:,18,3,0,0 2,,23 3.522,0.0,0.0,0.0,0.0,0.0,23
,78.26%,13.04%,0.00%,0.00%   8.70%,,,,,,,,
INTA-606-601,14,12,0,00,,26 3.538,0.0,0.0,0.0,0.0,0.0,26 HERMANN C
,53.85%,46.15%,0.00%,0.00%0.00%,,,,,,,,
INTA-606-602,16,10,0,00,,26 3.615,0.0,0.0,0.0,0.0,0.0,26 HERMANN C
,61.54%,38.46%,0.00%,0.00%0.00%,,,,,,,,
INTA-606-603,15,6,1,00,,22 3.636,0.0,0.0,0.0,0.0,0.0,22 LAYNE C
,68.18%,27.27%,4.55%,0.00%0.00%,,,,,,,,
COURSE TOTAL:,45,28,1,0 0,,74 3.595,0.0,0.0,0.0,0.0,0.0,74
,60.81%,37.84%,1.35%,0.00%   0.00%,,,,,,,,
INTA-608-601,24,14,1,00,,39 3.590,1.0,0.0,0.0,0.0,0.0,40 GAWANDE K
,61.54%,35.90%,2.56%,0.00%0.00%,,,,,,,,
