0,1,2,3,4,5,6,7,8,9,10,11,12
CHEN-205-500,3,5,1,1,1,11 2.727,0.0,0.0,0.0,1.0,0.0,12 ELBASHIR N
,27.27%,45.45%,9.09%,9.09%,9.09%,,,,,,,
CHEN-313-500,2,7,2,0,0,11 3.000,1.0,0.0,0.0,0.0,0.0,12 PALMER B
,18.18%,63.64%,18.18%,0.00%,0.00%,,,,,,,
CHEN-323-500,1,6,5,0,0,12 2.667,0.0,0.0,0.0,0.0,0.0,12 NOUNOU M
,8.33%,50.00%,41.67%,0.00%,0.00%,,,,,,,
CHEN-426-500,10,4,0,0,0,14 3.714,0.0,0.0,0.0,0.0,0.0,14 LINKE P
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,
CHEN-433-500,8,3,3,0,0,14 3.357,0.0,0.0,0.0,0.0,0.0,14 SALAMA G
,57.14%,21.43%,21.43%,0.00%,0.00%,,,,,,,
CHEN-464-500,4,5,5,0,0,14 2.929,0.0,0.0,0.0,0.0,0.0,14 WALDRAM S
,28.57%,35.71%,35.71%,0.00%,0.00%,,,,,,,
CHEN-485-113,2,0,0,0,0,2 4.000,0.0,0.0,0.0,0.0,0.0,2 WALDRAM S
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
CHEN-485-115,1,0,0,0,0,1 4.000,0.0,0.0,0.0,0.0,0.0,1 ELBASHIR N
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,3,0,0,0,0,79 4.000,0.0,0.0,0.0,0.0,0.0,3
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
CHEN-489-501,4,4,2,0,0,10 3.200,0.0,0.0,0.0,0.0,0.0,10 ABDEL-WAHAB A
,40.00%,40.00%,20.00%,0.00%,0.00%,,,,,,,
CHEN-489-502,5,2,3,0,0,10 3.200,0.0,2.0,0.0,1.0,0.0,13 BUKUR D
,50.00%,20.00%,30.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,9,6,5,0,0,20 3.200,0.0,2.0,0.0,1.0,0.0,23
,45.00%,30.00%,25.00%,0.00%,0.00%,,,,,,,
CHEM-102-502,4,7,4 2,1,,18 2.611,0.0,0.0,0.0,1.0,0.0,19 BAZZI H
