0,1,2,3,4,5,6,7,8,9,10,11,12
CHEN-205-501,3,8,7 1,,0,19 2.684,0.0,0.0,0.0,0.0,0.0,19 CASTIER M
,15.79%,42.11%,36.84%5.26%,,0.00%,,,,,,,
CHEN-205-502,1,4,1 1,,0,7 2.714,0.0,0.0,0.0,0.0,0.0,7 CASTIER M
,14.29%,57.14%,14.29%  14.29%,,0.00%,,,,,,,
COURSE TOTAL:,4,12,8 2,,0,26 2.692,0.0,0.0,0.0,0.0,0.0,26
,15.38%,46.15%,30.77%7.69%,,0.00%,,,,,,,
CHEN-313-500,3,6,2 0,,0,11 3.091,0.0,0.0,0.0,0.0,0.0,11 PALMER B
,27.27%,54.55%,18.18%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,3,6,2 0,,0,11 3.091,0.0,0.0,0.0,0.0,0.0,11
,27.27%,54.55%,18.18%0.00%,,0.00%,,,,,,,
CHEN-323-500,2,6,6 0,,0,14 2.714,0.0,0.0,0.0,0.0,0.0,14 NOUNOU M
,14.29%,42.86%,42.86%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,2,6,6 0,,0,14 2.714,0.0,0.0,0.0,0.0,0.0,14
,14.29%,42.86%,42.86%0.00%,,0.00%,,,,,,,
CHEN-426-500,4,6,0 0,,0,10 3.400,0.0,0.0,0.0,0.0,0.0,10 LINKE P
,40.00%,60.00%,0.00%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,4,6,0 0,,0,10 3.400,0.0,0.0,0.0,0.0,0.0,10
,40.00%,60.00%,0.00%0.00%,,0.00%,,,,,,,
CHEN-433-500,5,6,0 0,,0,11 3.454,0.0,0.0,0.0,0.0,0.0,11 SALAMA G
,45.45%,54.55%,0.00%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,5,6,0 0,,0,11 3.455,0.0,0.0,0.0,0.0,0.0,11
,45.45%,54.55%,0.00%0.00%,,0.00%,,,,,,,
CHEN-464-500,4,6,3 0,,0,13 3.077,0.0,0.0,0.0,0.0,0.0,13 ELBASHIR N
COURSE TOTAL:,4,6,3,0,0,13 3.077,0.0,0.0,0.0,0.0,0.0,13
,30.77%,46.15%,23.08%,0.00%,0.00%,,,,,,,
CHEN-489-501,5,7,2,0,0,14 3.214,0.0,0.0,0.0,1.0,0.0,15 ABDEL-WAHAB A
,35.71%,50.00%,14.29%,0.00%,0.00%,,,,,,,
CHEN-489-502,3,5,4,0,0,12 2.917,0.0,0.0,0.0,0.0,0.0,12 BUKUR D
,25.00%,41.67%,33.33%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,8,12,6,0,0,26 3.077,0.0,0.0,0.0,1.0,0.0,27
,30.77%,46.15%,23.08%,0.00%,0.00%,,,,,,,
DEPARTMENT TOTAL:,30,54,25,2,0,111 3.009,0.0,0.0,0.0,1.0,0.0,112
,27.03%,48.65%,22.52%,1.80%,0.00%,,,,,,,
COLLEGE TOTAL:,30,54,25,2,0,111 3.009,0.0,0.0,0.0,1.0,0.0,112
GEOL-404-501,2,3,3 1,,0,9 2.667,0.0,0.0,0.0,0.0,0.0,9 WINN R
,22.22%,33.33%,33.33%  11.11%,,0.00%,,,,,,,
GEOL-404-502,1,7,6 1,,0,15 2.533,0.0,0.0,0.0,0.0,0.0,15 WINN R
,6.67%,46.67%,40.00%6.67%,,0.00%,,,,,,,
COURSE TOTAL:,3,10,9 2,,0,24 2.583,0.0,0.0,0.0,0.0,0.0,24
,12.50%,41.67%,37.50%8.33%,,0.00%,,,,,,,
GEOP-421-500,3,3,0 0,,0,6 3.500,0.0,0.0,0.0,0.0,0.0,6 ALJUHANI S
,50.00%,50.00%,0.00%0.00%,,0.00%,,,,,,,
COURSE TOTAL:,3,3,0 0,,0,6 3.500,0.0,0.0,0.0,0.0,0.0,6
,50.00%,50.00%,0.00%0.00%,,0.00%,,,,,,,
DEPARTMENT TOTAL:,6,13,9 2,,0,30 2.767,0.0,0.0,0.0,0.0,0.0,30
,20.00%,43.33%,30.00%6.67%,,0.00%,,,,,,,
COLLEGE TOTAL:,6,13,9 2,,0,30 2.767,0.0,0.0,0.0,0.0,0.0,30
KINE-198-501,4,5,3,10,,13 2.923,0.0,4.0,0.0,0.0,0.0,17 CANTERBURY T
,30.77%,38.46%,23.08%,7.69%0.00%,,,,,,,,
KINE-198-502,2,5,1,00,,8 3.125,0.0,2.0,0.0,0.0,0.0,10 CANTERBURY T
,25.00%,62.50%,12.50%,0.00%0.00%,,,,,,,,
KINE-198-503,4,0,1,00,,5 3.600,0.0,0.0,0.0,0.0,0.0,5 MINUS M
,80.00%,0.00%,20.00%,0.00%0.00%,,,,,,,,
KINE-198-504,6,1,2,02,,11 2.818,0.0,5.0,0.0,0.0,0.0,16 MINUS M
,54.55%,9.09%,18.18%,0.00%  18.18%,,,,,,,,
COURSE TOTAL:,16,11,7,1 2,,37 3.027,0.0,11.0,0.0,0.0,0.0,48
,43.24%,29.73%,18.92%,2.70%   5.41%,,,,,,,,
DEPARTMENT TOTAL:,16,11,7,12,,37 3.027,0.0,11.0,0.0,0.0,0.0,48
,43.24%,29.73%,18.92%,2.70%5.41%,,,,,,,,
COLLEGE TOTAL:,16,11,7,1 2,,37 3.027,0.0,11.0,0.0,0.0,0.0,48
HIST-105-501,3,9,8 3,,0,23 2.522,0.0,0.0,0.0,0.0,0.0,23 BICKHAM T
,13.04%,39.13%,34.78%  13.04%,,0.00%,,,,,,,
HIST-105-502,3,3,10 1,,1,18 2.333,0.0,0.0,0.0,3.0,0.0,21 WORK D
,16.67%,16.67%,55.56%5.56%,,5.56%,,,,,,,
COURSE TOTAL:,6,12,18 4,,1,41 2.439,0.0,0.0,0.0,3.0,0.0,44
,14.63%,29.27%,43.90%9.76%,,2.44%,,,,,,,
HIST-106-501,4,7,5 1,,1,18 2.667,0.0,0.0,0.0,2.0,0.0,20 NESTER T
,22.22%,38.89%,27.78%5.56%,,5.56%,,,,,,,
HIST-106-502,4,10,3 0,,0,17 3.059,0.0,0.0,0.0,2.0,0.0,19 NESTER T
,23.53%,58.82%,17.65%0.00%,,0.00%,,,,,,,
