0,1,2,3,4,5,6,7,8,9,10,11,12
ANTH-210-100,17,6,1,0,0,24 3.667,0.0,0.0,0.0,0.0,0.0,24 VORA N
,70.83%,25.00%,4.17%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,17,6,1,0,0,24 3.667,0.0,0.0,0.0,0.0,0.0,24
,70.83%,25.00%,4.17%,0.00%,0.00%,,,,,,,
DEPARTMENT TOTAL:,17,6,1,0,0,24 3.667,0.0,0.0,0.0,0.0,0.0,24
,70.83%,25.00%,4.17%,0.00%,0.00%,,,,,,,
COLLEGE TOTAL:,17,6,1,0,0,24 3.667,0.0,0.0,0.0,0.0,0.0,24
CHEN-414-900,2,3,0,0,0,5 3.400,0.0,0.0,0.0,0.0,0.0,5 SALAMA G
,40.00%,60.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,3,0,0,0,5 3.400,0.0,0.0,0.0,0.0,0.0,5
,40.00%,60.00%,0.00%,0.00%,0.00%,,,,,,,
DEPARTMENT TOTAL:,2,3,0,0,0,5 3.400,0.0,0.0,0.0,0.0,0.0,5
,40.00%,60.00%,0.00%,0.00%,0.00%,,,,,,,
COLLEGE TOTAL:,2,3,0,0,0,5 3.400,0.0,0.0,0.0,0.0,0.0,5
POLS-206-100,6,11,5,1,0,23 2.956,0.0,0.0,0.0,0.0,0.0,23 THORNTON D
,26.09%,47.83%,21.74%,4.35%,0.00%,,,,,,,
COURSE TOTAL:,6,11,5,1,0,23 2.957,0.0,0.0,0.0,0.0,0.0,23
,26.09%,47.83%,21.74%,4.35%,0.00%,,,,,,,
POLS-331-100,4,7,2,0,1,14 2.929,0.0,0.0,0.0,0.0,0.0,14 MARUSKA J
,28.57%,50.00%,14.29%,0.00%,7.14%,,,,,,,
COURSE TOTAL:,4,7,2,0,1,14 2.929,0.0,0.0,0.0,0.0,0.0,14
,28.57%,50.00%,14.29%,0.00%,7.14%,,,,,,,
DEPARTMENT TOTAL:,10,18,7,1,1,37 2.946,0.0,0.0,0.0,0.0,0.0,37
,27.03%,48.65%,18.92%,2.70%,2.70%,,,,,,,
COLLEGE TOTAL:,10,18,7,1,1,37 2.946,0.0,0.0,0.0,0.0,0.0,37
CHEM-107-100,5,4,3 4,,1,17 2.471,0.0,0.0,0.0,4.0,0.0,21 BROTHERS E
,29.41%,23.53%,17.65%  23.53%,,5.88%,,,,,,,
COURSE TOTAL:,5,4,3 4,,1,17 2.471,0.0,0.0,0.0,4.0,0.0,21
,29.41%,23.53%,17.65%  23.53%,,5.88%,,,,,,,
CHEM-117-100,3,10,2 0,,1,16 2.875,0.0,0.0,0.0,0.0,0.0,16 BROTHERS E
,18.75%,62.50%,12.50%0.00%,,6.25%,,,,,,,
COURSE TOTAL:,3,10,2 0,,1,16 2.875,0.0,0.0,0.0,0.0,0.0,16
,18.75%,62.50%,12.50%0.00%,,6.25%,,,,,,,
DEPARTMENT TOTAL:,8,14,5 4,,2,33 2.667,0.0,0.0,0.0,4.0,0.0,37
,24.24%,42.42%,15.15%  12.12%,,6.06%,,,,,,,
COLLEGE TOTAL:,8,14,5 4,,2,33 2.667,0.0,0.0,0.0,4.0,0.0,37
ENGR-112-301,5,4,4,0,0,13 3.077,0.0,0.0,0.0,0.0,0.0,13 CONKEY A
,38.46%,30.77%,30.77%,0.00%,0.00%,,,,,,,
