0,1,2,3,4,5,6,7,8,9,10,11,12
EDAD-601-600,6,1,1,0,0,8 3.625,0.0,0.0,0.0,0.0,7.0,15 MERTON P
,75.00%,12.50%,12.50%,0.00%,0.00%,,,,,,,
EDAD-606-600,8,0,0,0,0,8 4.000,0.0,0.0,0.0,0.0,0.0,8 WEBB-JOHNSON G
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
EDAD-609-600,4,2,0,0,0,6 3.667,0.0,0.0,0.0,0.0,0.0,6 TORRES M
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,
EDAD-609-700,5,0,0,0,0,5 4.000,0.0,0.0,0.0,0.0,0.0,5 TORRES M
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,9,2,0,0,0,27 3.818,0.0,0.0,0.0,0.0,0.0,11
,81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,
EDAD-610-600,11,1,0,0,0,12 3.917,0.0,0.0,0.0,1.0,0.0,13 COLE B
,91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,
EDAD-611-601,13,2,0,0,0,15 3.867,0.0,0.0,0.0,0.0,0.0,15 DAVIS E
,86.67%,13.33%,0.00%,0.00%,0.00%,,,,,,,
EDAD-611-602,16,2,0,0,0,18 3.889,0.0,0.0,0.0,0.0,0.0,18 VOELTER D
,88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,29,4,0,0,0,45 3.879,0.0,0.0,0.0,0.0,0.0,33
,87.88%,12.12%,0.00%,0.00%,0.00%,,,,,,,
EDAD-616-600,13,0,0,0,0,13 4.000,0.0,0.0,0.0,0.0,0.0,13 COLLIER V
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
EDAD-618-600,15,0,0,0,0,15 4.000,0.0,0.0,0.0,0.0,1.0,16 LECHUGA V
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
EDAD-623-600,12,0,1,0,0,13 3.846,3.0,1.0,0.0,0.0,0.0,17 LINCOLN Y
,92.31%,0.00%,7.69%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,21,1,1,0,0,51 3.870,4.0,1.0,0.0,0.0,0.0,28
,91.30%,4.35%,4.35%,0.00%,0.00%,,,,,,,
EDAD-637-600,8,1,0,0,0,9 3.889,0.0,0.0,0.0,0.0,0.0,9 SKRLA L
,88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,
EDAD-638-600,8,0,0,0,0,8 4.000,0.0,0.0,0.0,0.0,0.0,8 WEBB-JOHNSON G
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
EDAD-638-700,6,0,0,0,0,6 4.000,0.0,0.0,0.0,0.0,0.0,6 WEBB-JOHNSON G
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,14,0,0,0,0,23 4.000,0.0,0.0,0.0,0.0,0.0,14
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
EDAD-639-600,13,3,0,0,0,16 3.812,1.0,0.0,0.0,0.0,0.0,17 CHAMBERS T
,81.25%,18.75%,0.00%,0.00%,0.00%,,,,,,,
EDAD-650-600,14,0,1,0,0,15 3.867,0.0,0.0,0.0,0.0,0.0,15 PECK-PARROTT K
,93.33%,0.00%,6.67%,0.00%,0.00%,,,,,,,
EDAD-655-600,16,1,0,0,0,17 3.941,0.0,0.0,0.0,0.0,0.0,17 COLE B
,94.12%,5.88%,0.00%,0.00%,0.00%,,,,,,,
EDAD-658-600,12,1,1,0,0,14 3.786,1.0,0.0,0.0,0.0,0.0,15 OSTERS S
,85.71%,7.14%,7.14%,0.00%,0.00%,,,,,,,
EDAD-670-600,14,0,1,0,0,15 3.867,0.0,0.0,0.0,0.0,0.0,15 PECK-PARROTT K
,93.33%,0.00%,6.67%,0.00%,0.00%,,,,,,,
EDAD-684-601,0,0,0,0,0,0 0.000,2.0,7.0,0.0,0.0,0.0,9 BONNER F
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
EDAD-684-605,0,0,0,0,0,0 0.000,0.0,1.0,0.0,0.0,0.0,1 MCKENZIE K
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,5,5,2,0,1,13 3.000,0.0,0.0,0.0,1.0,0.0,14
,38.46%,38.46%,15.38%,0.00%,7.69%,,,,,,,
EHRD-603-600,11,0,0,0,0,11 4.000,0.0,0.0,0.0,0.0,0.0,11 DOOLEY L
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
EHRD-603-700,10,0,0,0,1,11 3.636,0.0,0.0,0.0,0.0,0.0,11 DOOLEY L
,90.91%,0.00%,0.00%,0.00%,9.09%,,,,,,,
EHRD-603-723,1,0,0,0,0,1 4.000,1.0,0.0,0.0,0.0,0.0,2 EGAN T
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,22,0,0,0,1,23 3.826,1.0,0.0,0.0,0.0,0.0,24
,95.65%,0.00%,0.00%,0.00%,4.35%,,,,,,,
EHRD-605-723,0,0,0,0,0,0 0.000,0.0,0.0,0.0,0.0,19.0,19 CALLAHAN J
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
EHRD-607-600,8,4,0,0,0,12 3.667,1.0,0.0,0.0,1.0,0.0,14 MCLEAN G
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,
EHRD-612-600,8,4,1,0,0,13 3.538,0.0,0.0,0.0,0.0,0.0,13 CALLAHAN J
,61.54%,30.77%,7.69%,0.00%,0.00%,,,,,,,
EHRD-612-723,4,1,1,0,0,6 3.500,6.0,0.0,0.0,0.0,0.0,12 DOOLEY L
,66.67%,16.67%,16.67%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,12,5,2,0,0,31 3.526,6.0,0.0,0.0,0.0,0.0,25
,63.16%,26.32%,10.53%,0.00%,0.00%,,,,,,,
EHRD-613-600,17,0,0,0,0,17 4.000,3.0,1.0,0.0,0.0,0.0,21 EGAN T
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
EHRD-613-601,6,0,0,0,0,6 4.000,2.0,0.0,0.0,1.0,0.0,9 EGAN T
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,157,14,1,1,0,173 3.890,0.0,0.0,0.0,0.0,54.0,227
,90.75%,8.09%,0.58%,0.58%,0.00%,,,,,,,
INST-463-501,24,0,0,0,1,25 3.840,0.0,0.0,0.0,0.0,0.0,25 CASSELL E
,96.00%,0.00%,0.00%,0.00%,4.00%,,,,,,,
INST-463-502,23,2,1,0,0,26 3.846,0.0,0.0,0.0,2.0,0.0,28 CASSELL E
,88.46%,7.69%,3.85%,0.00%,0.00%,,,,,,,
INST-463-503,35,2,0,0,1,38 3.842,0.0,0.0,0.0,0.0,0.0,38 CASSELL E
,92.11%,5.26%,0.00%,0.00%,2.63%,,,,,,,
INST-463-504,43,3,1,0,0,47 3.894,0.0,0.0,0.0,0.0,0.0,47 CASSELL E
,91.49%,6.38%,2.13%,0.00%,0.00%,,,,,,,
INST-463-550,17,0,0,0,0,17 4.000,0.0,0.0,0.0,0.0,0.0,17 HAMMER J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,142,7,2,0,2,153 3.876,0.0,0.0,0.0,2.0,0.0,155
,92.81%,4.58%,1.31%,0.00%,1.31%,,,,,,,
INST-491-904,0,0,0,0,0,0 0.000,0.0,0.0,0.0,0.0,0.0,0 JO H
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
MASC-351-501,17,2,0,0,0,19 3.895,0.0,0.0,0.0,0.0,0.0,19 GOLDSBY D
,89.47%,10.53%,0.00%,0.00%,0.00%,,,,,,,
MASC-351-502,31,5,0,0,0,36 3.861,0.0,0.0,0.0,0.0,0.0,36 GOLDSBY D
,86.11%,13.89%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,48,7,0,0,0,55 3.873,0.0,0.0,0.0,0.0,0.0,55
,87.27%,12.73%,0.00%,0.00%,0.00%,,,,,,,
MASC-371-500,0,0,0,0,0,0 0.000,0.0,0.0,0.0,0.0,0.0,0
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
MASC-475-500,21,1,0,0,0,22 3.954,0.0,0.0,0.0,0.0,0.0,22 SLOUGH S
,95.45%,4.55%,0.00%,0.00%,0.00%,,,,,,,
MEFB-351-501,40,0,1,0,0,41 3.951,0.0,0.0,0.0,0.0,1.0,42 WOODS M
,97.56%,0.00%,2.44%,0.00%,0.00%,,,,,,,
MEFB-351-502,40,0,0,0,0,40 4.000,0.0,0.0,0.0,0.0,0.0,40 MIDDLEBROOKS M
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
MEFB-351-503,21,5,0,0,0,26 3.808,0.0,0.0,0.0,0.0,0.0,26 GOLDSBY D
,80.77%,19.23%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,101,5,1,0,0,169 3.935,0.0,0.0,0.0,0.0,1.0,108
,94.39%,4.67%,0.93%,0.00%,0.00%,,,,,,,
MEFB-352-501,25,0,0,0,0,25 4.000,0.0,0.0,0.0,0.0,0.0,25 PARKER D
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
MEFB-352-502,29,2,0,0,0,31 3.936,0.0,0.0,0.0,0.0,0.0,31 ATES B
,93.55%,6.45%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,54,2,0,0,0,56 3.964,0.0,0.0,0.0,0.0,0.0,56
,96.43%,3.57%,0.00%,0.00%,0.00%,,,,,,,
MEFB-450-502,28,2,1,0,0,31 3.871,0.0,0.0,0.0,0.0,0.0,31 ATES B
,90.32%,6.45%,3.23%,0.00%,0.00%,,,,,,,
MEFB-460-501,30,0,0,0,0,30 4.000,0.0,0.0,0.0,0.0,0.0,30 PARKER D
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
MEFB-470-501,24,3,0,0,0,27 3.889,0.0,0.0,0.0,0.0,0.0,27 SINGLETON J
,88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,
MEFB-497-500,0,0,0,0,0,0 0.000,0.0,71.0,0.0,0.0,0.0,71 BANE K
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,0,0,0,0,88 0.000,0.0,101.0,0.0,0.0,0.0,101
,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
RDNG-351-501,16,12,2,0,0,30 3.467,0.0,0.0,0.0,0.0,0.0,30 ERWIN B
,53.33%,40.00%,6.67%,0.00%,0.00%,,,,,,,
RDNG-351-503,25,5,0,0,0,30 3.833,0.0,0.0,0.0,0.0,0.0,30 RUPLEY W
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,
RDNG-351-504,17,5,1,0,0,23 3.696,0.0,0.0,0.0,0.0,0.0,23 RUPLEY W
,73.91%,21.74%,4.35%,0.00%,0.00%,,,,,,,
RDNG-351-505,11,17,1,1,0,30 3.267,0.0,0.0,0.0,0.0,0.0,30 ERWIN B
,36.67%,56.67%,3.33%,3.33%,0.00%,,,,,,,
COURSE TOTAL:,69,39,4,1,0,113 3.558,0.0,0.0,0.0,0.0,0.0,113
,61.06%,34.51%,3.54%,0.88%,0.00%,,,,,,,
RDNG-361-501,24,2,0,0,0,26 3.923,0.0,0.0,0.0,0.0,0.0,26 GRAHAM L
,92.31%,7.69%,0.00%,0.00%,0.00%,,,,,,,
RDNG-361-502,22,1,0,1,0,24 3.833,0.0,0.0,0.0,0.0,0.0,24 GRAHAM L
,91.67%,4.17%,0.00%,4.17%,0.00%,,,,,,,
RDNG-361-503,26,0,1,0,0,27 3.926,0.0,0.0,0.0,0.0,0.0,27 GRAHAM L
,96.30%,0.00%,3.70%,0.00%,0.00%,,,,,,,
RDNG-361-504,21,8,2,0,0,31 3.613,0.0,0.0,0.0,0.0,0.0,31 HAIRRELL A
,67.74%,25.81%,6.45%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,93,11,3,1,0,108 3.815,0.0,0.0,0.0,0.0,0.0,108
,86.11%,10.19%,2.78%,0.93%,0.00%,,,,,,,
RDNG-371-902,26,5,0,0,0,31 3.839,0.0,0.0,0.0,0.0,0.0,31 SONNENBURG S
,83.87%,16.13%,0.00%,0.00%,0.00%,,,,,,,
RDNG-371-904,21,3,0,0,0,24 3.875,0.0,0.0,0.0,0.0,0.0,24 SONNENBURG S
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,
